|Тип|Назначение|Объем|Форм-фактор|Разъем|Тип памяти|Внешняя скорость записи|Внешняя скорость считывания|Буферная память|Ударостойкость при работе|Наработка на отказ|Материал корпуса|Размеры|Вес|Контроллер|Гарантия производителя|Интерфейс M.2|NVMe|TBW|DWPD|Шифрование данных|IOPS записи|IOPS считывания|Кабель в комплекте|Ударостойкий корпус|Стандарт защиты MIL-STD-810|Уровень защиты (IP)|Радиатор охлаждения M.2|TRIM|Код EAN / UPS / GTIN|Маркировка производителя|Подсветка|Thunderbolt|Внешний карман
Seagate BarraCuda SATA SSD ZA480CV1A002 ZA480CV1A002|внутренний||480 ГБ|"2.5"""|SATA 3|3D NAND|500 МБ/с|540 МБ/с|||1.8 млн. ч||100x70x7 мм|35 г||3 года|||170 ТБ|0.3 раз/день|||||||||||ZA480CV10002, ZA480CV1A002|||
Seagate BarraCuda SATA SSD ZA1920CV1A002 ZA1920CV1A002|внутренний||1920 ГБ|"2.5"""|SATA 3|3D NAND|510 МБ/с|540 МБ/с|||1.8 млн. ч||100x70x7 мм|35 г||3 года|||600 ТБ|0.3 раз/день|||||||||||ZA1920CV10002, ZA1920CV1A002|||
Hynix Platinum P41 SHPP41-500GM SHPP41-500GM|внутренний||500 ГБ|M.2||3D TLC NAND / SK Hynix 176L /|4700 МБ/с|7000 МБ/с|500 МБ / SK Hynix LPDDR4 /||1.5 млн. ч||22x80 мм||SK Hynix Aries / ACNS075 /|5 лет|PCI-E 4.0 4x|Есть|500 ТБ|0.6 раз/день|Есть|1000 тыс|960 тыс||||||Есть|||||
GOODRAM PX700 SSDPR-PX700-04T-80 SSDPR-PX700-04T-80|внутренний||4000 ГБ|M.2||3D NAND|6500 МБ/с|7400 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|2400 ТБ|0.3 раз/день||1000 тыс|1000 тыс|||||||||||
HP P40 P40502-B21 P40502-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|3D NAND||||||||||3 года||||3.5 раз/день||29 тыс|72 тыс|||||||||||
GOODRAM PX700 SSDPR-PX700-01T-80 SSDPR-PX700-01T-80|внутренний||1000 ГБ|M.2||3D NAND|6500 МБ/с|7400 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|600 ТБ|0.3 раз/день||820 тыс|1000 тыс|||||||||||
HP P40 P40497-B21 P40497-B21|внутренний|для сервера|480 ГБ|"2.5"""|SATA 3|3D NAND||||||||||3 года||||0.5 раз/день||15 тыс|65 тыс|||||||||||
GOODRAM PX700 SSDPR-PX700-512-80 SSDPR-PX700-512-80|внутренний||512 ГБ|M.2||3D NAND|4200 МБ/с|7000 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|300 ТБ|0.3 раз/день||820 тыс|840 тыс|||||||||||
Corsair MP600 CORE XT CSSD-F1000GBMP600CXT CSSD-F1000 ГБMP600CXT|внутренний||1000 ГБ|M.2||3D QLC NAND|3500 МБ/с|5000 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|250 ТБ|0.1 раз/день|Есть|||||||||||||
GOODRAM CX400 GEN.2 SSDPR-CX400-512-G2 SSDPR-CX400-512-G2|внутренний||512 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|550 МБ/с|||2 млн. ч||100x70x7 мм||Phison PS3111-S11|3 года|||350 ТБ|0.6 раз/день||77 тыс|76 тыс||||||Есть|||||
Seagate BarraCuda Q5 ZP2000CV30001 ZP2000CV30001|внутренний||2000 ГБ|M.2||3D QLC NAND|1800 МБ/с|2400 МБ/с|||1.8 млн. ч||22x80 мм|7 г||3 года|PCI-E 3.0 4x|Есть|531 ТБ|0.2 раз/день|||||||||Есть|0719706027731, 8719706027731||||
Corsair MP700 PRO CSSD-F1000GBMP700PNH CSSD-F1000 ГБMP700PNH|внутренний||1000 ГБ|M.2||3D TLC NAND / Micron 232-Layer /|9600 МБ/с|11700 МБ/с|2096 МБ / Hynix LPDDR4-4266 /||1.6 млн. ч||22x80 мм||Phison PS5026-E26|5 лет|PCI-E 5.0 4x|Есть|700 ТБ|0.4 раз/день|Есть|1500 тыс|1400 тыс||||||Есть|||||
MSI SPATIUM M570 PRO PCIe 5.0 NVMe M.2 FROZR S78-440Q670-P83 S78-440Q670-P83|внутренний||2000 ГБ|M.2||3D TLC NAND / Micron 232-Layer /|11800 МБ/с|12400 МБ/с|4000 МБ / Hynix LPDDR4-4266 /||1.6 млн. ч||94.8х24х71.65 мм / радиатор /||Phison PS5026-E26|5 лет|PCI-E 5.0 4x||1400 ТБ|0.4 раз/день|Есть|1500 тыс|1500 тыс|||||Есть|Есть|||||
Samsung T5 EVO MU-PH8T0S MU-PH8T0S|внешний||8000 ГБ||USB C 3.2 gen1|3D QLC NAND|460 МБ/с|460 МБ/с||||металл|96x40x16 мм|102 г|Samsung Metis|3 года|||||Есть|||USB C – USB C|Есть|||||||||
GOODRAM PX700 SSDPR-PX700-02T-80 SSDPR-PX700-02T-80|внутренний||2000 ГБ|M.2||3D NAND|6500 МБ/с|7400 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|1200 ТБ|0.3 раз/день||820 тыс|1000 тыс|||||||||||
Seagate BarraCuda SATA SSD ZA240CV1A002 ZA240CV1A002|внутренний||240 ГБ|"2.5"""|SATA 3|3D NAND|490 МБ/с|540 МБ/с|||1.8 млн. ч||100x70x7 мм|35 г||3 года|||80 ТБ|0.3 раз/день|||||||||||ZA240CV10002, ZA240CV1A002|||
Seagate BarraCuda SATA SSD ZA960CV1A002 ZA960CV1A002|внутренний||960 ГБ|"2.5"""|SATA 3|3D NAND|510 МБ/с|540 МБ/с|||1.8 млн. ч||100x70x7 мм|35 г||3 года|||300 ТБ|0.3 раз/день|||||||||||ZA960CV10002, ZA960CV1A002|||
Team Group MP44L TM8FPK002T0C101 TM8FPK002T0C101|внутренний||2000 ГБ|M.2||3D TLC NAND / 176-Layer Micron /|4400 МБ/с|4800 МБ/с|||1.5 млн. ч||22x80 мм||Phison E21T|5 лет|PCI-E 4.0 4x|Есть|1200 ТБ|0.3 раз/день||550 тыс|525 тыс|||||||0765441062078||||
A-Data SE800 ASE800-1TU32G2-CBL ASE800-1TU32G2-CBL|внешний||1000 ГБ|"2.5"""|USB C 3.2 gen2||1000 МБ/с|1000 МБ/с||||пластик|73x44x12 мм|40 г||3 года||||||||USB C – USB C и USB C – USB A|Есть|Есть|IP68|||4710273771489, 4710273771496|ASE800-1TU32G2-CBK, ASE800-1TU32G2-CBL|||
Samsung PM983 MZQLB960HAJR MZQLB960HAJR|внутренний|для сервера|960 ГБ|"2.5"""|U.2 / PCIe Gen3 x4 /|3D TLC NAND|1100 МБ/с|3200 МБ/с|||||||Samsung Phoenix|3 года||Есть||1.3 раз/день||40 тыс|400 тыс|||||||8592978113957||||
Corsair MP600 PRO XT Hydro X CSSD-F2000GBMP600PHXTW CSSD-F2000 ГБMP600PHXTW|внутренний||2000 ГБ|M.2||3D TLC NAND|6800 МБ/с|7100 МБ/с||1500 G|1.6 млн. ч||23x80x19 мм|||5 лет|PCI-E 4.0 4x|Есть|1400 ТБ|0.4 раз/день|Есть|1200 тыс|1000 тыс|||||Есть||||||
A-Data LEGEND 700 ALEG-700-1TCS ALEG-700-1TCS|внутренний||1024 ГБ|M.2||3D TLC NAND|1600 МБ/с|2000 МБ/с|||1.5 млн. ч||22x80x3.13 мм|||3 года|PCI-E 3.0 4x|Есть|320 ТБ|0.3 раз/день|Есть|280 тыс|180 тыс|||||Есть||||||
Micron 7450 MAX U.3 7mm MTFDKCB1T6TFS-1BC1ZAB MTFDKCB1T6TFS-1BC1ZAB|внутренний|для сервера|1600 ГБ|"2.5"""|U.3 / PCI-E 4.0 /|3D TLC NAND / Micron 176-layer /|2700 МБ/с|6800 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||Есть|8700 ТБ|3 раз/день||250 тыс|800 тыс|||||||0649528925312|MTFDKCB1T6TFS-1BC1ZABYY|||
WD Elements SE SSD WDBAYN0020BBK-WESN BAYN0020BBK-WESN|внешний||2000 ГБ||USB 3.2 gen1|||400 МБ/с||||пластик|65x65x9 мм|27 г||3 года||||||||Micro B - USB A||||||||||
Corsair MP510 CSSD-F480GBMP510 CSSD-F480 ГБMP510|внутренний||480 ГБ|M.2||3D TLC NAND|2000 МБ/с|3480 МБ/с||1500 G|1.8 млн. ч||22x80 мм||Phison PS5012-E12|5 лет|PCI-E 3.0 4x|Есть|800 ТБ|0.9 раз/день||440 тыс|360 тыс|||||||0840006623052, 0843591024341||||
Team Group DELTA MAX RGB T253TM001T3C302 T253TM001T3C302|внутренний||1000 ГБ|"2.5"""|SATA 3|3D TLC NAND|510 МБ/с|560 МБ/с||1500 G|1 млн. ч||100x70x7 мм|78 г||3 года|||240 ТБ|0.2 раз/день||80 тыс|90 тыс|||||||0765441047396||multi compatibility||
KIOXIA XG6 KXG60ZNV512G KXG60ZNV512G|внутренний||512 ГБ|M.2||3D TLC NAND / 96-Layer /|2800 МБ/с|3100 МБ/с||1500 G|1.5 млн. ч||22x80 мм||||PCI-E 3.0 4x|Есть|||||||||||||KXG60ZNV512G, KXG6AZNV512G|||
A-Data XPG SX6000 M.2 ASX6000NP-512GT-C ASX6000NP-512GT-C|внутренний||512 ГБ|M.2||3D TLC NAND|800 МБ/с|1000 МБ/с||1500 G|2 млн. ч||22x80 мм|8 г|Realtek RTS5760|5 лет|PCI-E 3.0 2x|Есть|300 ТБ|0.33 раз/день||110 тыс|100 тыс||||||Есть|||||
Colorful SL300 SL300 120GB SL300 120 ГБ|внутренний||120 ГБ|"2.5"""|SATA 3|TLC|400 МБ/с|500 МБ/с|||||100x70x7 мм||Silicon Motion|||||||||||||||||||
Micron 5400 MAX MTFDDAK1T9TGB-1BC1ZAB MTFDDAK1T9TGB-1BC1ZAB|внутренний||1920 ГБ|"2.5"""|SATA 3|3D TLC NAND / Micron 176-layer /|520 МБ/с|540 МБ/с|||3 млн. ч||100x70x7 мм|||5 лет|||||Есть|63 тыс|94 тыс|||||||0649528933669||||
Micron 7450 PRO U.3 7mm MTFDKCB7T6TFR-1BC1ZAB MTFDKCB7T6TFR-1BC1ZAB|внутренний|для сервера|7680 ГБ|"2.5"""|U.3 / PCI-E 4.0 /|3D TLC NAND / Micron 176-layer /|5600 МБ/с|6800 МБ/с|||2 млн. ч||100x70x7 мм|||5 лет||Есть|14000 ТБ|1 раз/день||250 тыс|1000 тыс|||||||0649528925879|MTFDKCB7T6TFR-1BC1ZABYY|||
Transcend MTS800 M.2 TS128GMTS800 TS128GMTS800|внутренний||128 ГБ|M.2||MLC|460 МБ/с|560 МБ/с|||||22x80 мм|9 г||3 года|SATA 3||180 ТБ|1.3 раз/день||50 тыс|70 тыс|||||||0760557840763||||
Transcend ESD230C TS240GESD230C TS240GESD230C|внешний||240 ГБ|"1.8"""|USB C 3.2 gen2|3D TLC NAND|460 МБ/с|520 МБ/с||||пластик|77x56x10 мм|35 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
WD Elements SE SSD WDBAYN0010BBK-WESN BAYN0010BBK-WESN|внешний||1000 ГБ||USB 3.2 gen1|||400 МБ/с||||пластик|65x65x9 мм|27 г||3 года||||||||Micro B - USB A||||||0619659187101||||
Kingston KC2500 SKC2500M8/1000G SKC2500M8\/1000G|внутренний||1000 ГБ|M.2||3D TLC NAND / 96-слойная /|2900 МБ/с|3500 МБ/с||1500 G|2 млн. ч||22x80 мм|10 г|Silicon Motion 2262EN|5 лет|PCI-E 3.0 4x|Есть|600 ТБ|0.3 раз/день|Есть|300 тыс|375 тыс||||||Есть|0740617307184||||
Micron 5400 MAX MTFDDAK480TGB-1BC1ZABYYR MTFDDAK480TGB-1BC1ZABYYR|внутренний||480 ГБ|"2.5"""|SATA 3|3D TLC NAND / Micron 176-layer /|520 МБ/с|540 МБ/с|||3 млн. ч||100x70x7 мм|||5 лет||||5 раз/день||58 тыс|95 тыс|||||||0649528934246||||
WD Elements SE SSD WDBAYN4800ABK-WESN BAYN4800ABK-WESN|внешний||400 ГБ||USB 3.2 gen1 / Micro B /|||400 МБ/с||||пластик|65x65x9 мм|27 г||3 года||||||||Micro B - USB A||||||0619659187248||||
Team Group PD400 T8FED4240G0C108 T8FED4240G0C108|внешний||240 ГБ|"2.5"""|USB C 3.2 gen1|TLC|420 МБ/с|430 МБ/с||||металл / алюминий /|83x65x13 мм|100 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
Corsair MP700 PRO Air Cooler CSSD-F1000GBMP700PRO CSSD-F1000 ГБMP700PRO|внутренний||1000 ГБ|M.2||3D TLC NAND / Micron 232-Layer /|9600 МБ/с|11700 МБ/с|2096 МБ / Hynix LPDDR4-4266 /||1.6 млн. ч||||Phison PS5026-E26|5 лет|PCI-E 5.0 4x|Есть|700 ТБ|0.4 раз/день|Есть|1500 тыс|1400 тыс|||||Есть|Есть|||||
A-Data SE920 SE920-1TCBK SE920-1TCBK|внешний||1000 ГБ|"2.5"""|USB4||3700 МБ/с / 3200 (Thunderbolt 4) /|3800 МБ/с||||пластик|105x64x16 мм|182 г||5 лет||||||||USB C – USB C|||||||||Thunderbolt v4|
A-Data LEGEND 700 ALEG-700-512GCS ALEG-700-512GCS|внутренний||512 ГБ|M.2||3D TLC NAND|1600 МБ/с|2000 МБ/с|||1.5 млн. ч||22x80x3.13 мм|||3 года|PCI-E 3.0 4x|Есть|160 ТБ|0.3 раз/день|Есть|260 тыс|160 тыс|||||Есть||4711085938183||||
Micron 5210 ION MTFDDAK1T9QDE-2AV1ZAB MTFDDAK1T9QDE-2AV1ZAB|внутренний||1920 ГБ|"2.5"""|SATA 3|3D QLC NAND|260 МБ/с|540 МБ/с|||2 млн. ч||100x70x7 мм|70 г||5 лет|||||Есть|70 тыс|13 тыс|||||||0649528787927|MTFDDAK1T9QDE-2AV1ZABYY|||
WD Blue SN500 WDS250G1B0C S250G1B0C|внутренний||250 ГБ|M.2||3D TLC NAND|1300 МБ/с|1700 МБ/с||1500 G|1.75 млн. ч||22x80 мм|6 г|SanDisk 20-82-007010|5 лет|PCI-E 3.0 2x|Есть|150 ТБ|0.3 раз/день||170 тыс|210 тыс||||||Есть|||||
Team Group PD400 T8FED4480G0C108 T8FED4480G0C108|внешний||480 ГБ|"2.5"""|USB C 3.2 gen1|TLC|420 МБ/с|430 МБ/с||||металл / алюминий /|83x65x13 мм|100 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
A-Data SC680 ASC680-240GU32G2-CBK ASC680-240GU32G2-CBK|внешний||240 ГБ||USB C 3.2 gen2|3D TLC NAND|460 МБ/с|530 МБ/с||||пластик|87x61x10 мм|35 г||3 года||||||||USB C – USB C и USB C – USB A|||||||ASC680-240GU32G2-CBK, ASC680-240GU32G2-CBL|||
A-Data SE920 SE920-2TCBK SE920-2TCBK|внешний||2000 ГБ|"2.5"""|USB4||3700 МБ/с / 3200 (Thunderbolt 4) /|3800 МБ/с||||пластик|105x64x16 мм|182 г||5 лет||||||||USB C – USB C|||||||||Thunderbolt v4|
A-Data SE800 ASE800-512GU32G2-CBL ASE800-512GU32G2-CBL|внешний||512 ГБ|"2.5"""|USB C 3.2 gen2||1000 МБ/с|1000 МБ/с||||пластик|73x44x12 мм|40 г||3 года||||||||USB C – USB C и USB C – USB A|Есть|Есть|IP68|||4710273771465, 4710273771472|ASE800-512GU32G2-CBK, ASE800-512GU32G2-CBL|||
Corsair MP600 GS CSSD-F2000GBMP600GS CSSD-F2000 ГБMP600GS|внутренний||2000 ГБ|M.2||3D TLC NAND|4500 МБ/с|4800 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|1200 ТБ|0.3 раз/день||1000 тыс|530 тыс|||||||0840006697213||||
Team Group Cardea ZERO Z330 TM8FP8001T0C311 TM8FP8001T0C311|внутренний||1000 ГБ|M.2||3D TLC NAND|1700 МБ/с|2100 МБ/с||1500 G|1.5 млн. ч||22x80 мм|||5 лет|PCI-E 3.0 4x|Есть|600 ТБ|0.3 раз/день||200 тыс|220 тыс||||||Есть|0765441050112||||
Team Group DELTA MAX T253TM500G3C302 T253TM500G3C302|внутренний||500 ГБ|"2.5"""|SATA 3|3D TLC NAND|510 МБ/с|560 МБ/с||1500 G|1 млн. ч||100x70x7 мм|78 г||3 года|||120 ТБ|0.2 раз/день||80 тыс|90 тыс|||||||||multi compatibility||
Team Group L5 Lite 3D T253TD480G3C101 T253TD480G3C101|внутренний||480 ГБ|"2.5"""|SATA 3|3D TLC NAND|420 МБ/с|470 МБ/с||1500 G|1 млн. ч||70x100x7 мм|65 г||3 года||||||70 тыс|70 тыс||||||Есть|||||
Team Group PD400 T8FED4960G0C108 T8FED4960G0C108|внешний||960 ГБ|"2.5"""|USB C 3.2 gen1|TLC|420 МБ/с|430 МБ/с||||металл / алюминий /|83x65x13 мм|100 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
A-Data SC680 ASC680-480GU32G2-CBK ASC680-480GU32G2-CBK|внешний||480 ГБ||USB C 3.2 gen2|3D TLC NAND|460 МБ/с|530 МБ/с||||пластик|87x61x10 мм|35 г||3 года||||||||USB C – USB C и USB C – USB A|||||||ASC680-480GU32G2-CBK, ASC680-480GU32G2-CBL|||
Transcend 245S TS250GMTE245S TS250GMTE245S|внутренний||250 ГБ|M.2||3D NAND|1800 МБ/с|3200 МБ/с|||2 млн. ч||22x80 мм||Realtek RTS5772DL|5 лет|PCI-E 4.0 4x|Есть|150 ТБ|0.3 раз/день||390 тыс|100 тыс|||||||||||
Corsair MP600 PRO LPX CSSD-F4000GBMP600PLPW CSSD-F4000 ГБMP600PLPW|внутренний||4000 ГБ|M.2||3D TLC NAND|6800 МБ/с|7100 МБ/с||1500 G|1.8 млн. ч||23x80x11 мм|||5 лет|PCI-E 4.0 4x|Есть|3000 ТБ|0.4 раз/день|Есть|||||||Есть||||||
A-Data SE900G ASE900G-1TU32G2-CBK ASE900G-1TU32G2-CBK|внешний||1000 ГБ|"2.5"""|USB C 3.2 gen2x2|3D TLC NAND|2000 МБ/с|2000 МБ/с||||металл|111x66x16.5 мм|160 г||5 лет||Есть||||||USB C – USB C и USB C – USB A||||||4710273779560||multi compatibility||
WD Blue SN580 WDS250G3B0E S250G3B0E|внутренний||250 ГБ|M.2||3D TLC NAND / 112-Layer Kioxia TLC (BiCS5) /|2000 МБ/с|4000 МБ/с|||1.5 млн. ч||22x80 мм||SanDisk 20-82-10082|5 лет|PCI-E 4.0 4x|Есть|150 ТБ|0.3 раз/день||470 тыс|240 тыс|||||||0718037902456||||
Micron 5400 MAX MTFDDAK3T8TGB-1BC1ZABYYR MTFDDAK3T8TGB-1BC1ZABYYR|внутренний||3840 ГБ|"2.5"""|SATA 3|3D TLC NAND / Micron 176-layer /|520 МБ/с|540 МБ/с|||3 млн. ч||100x70x7 мм|||5 лет||||3.4 раз/день||34 тыс|95 тыс|||||||0649528933980||||
Transcend ESD400 TS512GESD400K TS512GESD400K|внешний||512 ГБ|"1.8"""|USB 3.2 gen1|MLC|380 МБ/с|410 МБ/с|||1 млн. ч|пластик|62x92x11 мм|56 г||3 года||||||||Micro B - USB A||||||0760557828495||||
Transcend ESD350C TS240GESD350C TS240GESD350C|внешний||240 ГБ|"2.5"""|USB 3.2 gen2, USB C 3.2 gen2|3D TLC NAND|950 МБ/с|1050 МБ/с||1500 G|1 млн. ч|металл|96х53х12.5 мм|87 г||||||||||USB C – USB C и USB C – USB A||||||||||
WD Ultrastar DC SN840 WUS4BA138DSP3X WUS4BA138DSP3X|внутренний|для сервера|3840 ГБ|"2.5"""|U.2 / SFF-8639 /|3D TLC NAND / 96-слойная /|3250 МБ/с|3470 МБ/с|||2.5 млн. ч||100x70x15 мм|173 г||5 лет||Есть||1 раз/день||159 тыс|780 тыс||||||||0TS1877, 0TS2048, 0TS2055, 0TS2062|||
Team Group DELTA PHANTOM Gaming RGB T253PG250G3C313 T253PG250G3C313|внутренний||250 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|560 МБ/с||1500 G|1 млн. ч||100x70x9.5 мм|||3 года||||||80 тыс|90 тыс||||||Есть|||ASRock Polychrome Sync||
Corsair MP600 GS CSSD-F1000GBMP600GS CSSD-F1000 ГБMP600GS|внутренний||1000 ГБ|M.2||3D TLC NAND|3900 МБ/с|4800 МБ/с|||1.5 млн. ч||22x80 мм|||5 лет|PCI-E 4.0 4x|Есть|600 ТБ|0.3 раз/день||800 тыс|580 тыс|||||||0840006697190||||
WD Ultrastar DC SN840 WUS4C6432DSP3X WUS4C6432DSP3X|внутренний|для сервера|3200 ГБ|"2.5"""|U.2 / SFF-8639 /|3D TLC NAND / 96-слойная /|3300 МБ/с|3470 МБ/с|||2.5 млн. ч||100x70x15 мм|173 г||5 лет||Есть||3 раз/день||257 тыс|780 тыс||||||||0TS1876, 0TS2047, 0TS2054, 0TS2061|||
A-Data Ultimate SU800 M.2 ASU800NS38-1TT-C ASU800NS38-1TT-C|внутренний||1024 ГБ|M.2||3D TLC NAND / TLC /|520 МБ/с|560 МБ/с||1500 G|2 млн. ч||22x80 мм|8 г||3 года|SATA 3||||||||||||Есть|||||
Hikvision E2000 HS-SSD-E2000/256G HS-SSD-E2000\/256G|внутренний||256 ГБ|M.2||3D TLC NAND|1300 МБ/с|3100 МБ/с||1500 G|1.5 млн. ч||22x80 мм|||3 года|PCI-E 3.0 4x|Есть|380 ТБ|1.4 раз/день||245 тыс|187 тыс|||||Есть||6954273689957||||
Intel 530 Series SSDSC2BW480A401 SSDSC2BW480A401|внутренний||480 ГБ|"2.5"""|SATA 3|MLC|490 МБ/с|540 МБ/с||1500 G|1.2 млн. ч||70x100x7 мм|78 г|SandForce SF-2281|5 лет||||||||||||||||||
Team Group DELTA MAX T253TM250G3C302 T253TM250G3C302|внутренний||250 ГБ|"2.5"""|SATA 3|3D TLC NAND|500 МБ/с|560 МБ/с||1500 G|1 млн. ч||100x70x7 мм|78 г||3 года|||60 ТБ|0.2 раз/день||75 тыс|90 тыс|||||||||multi compatibility||
Kingston DC400 SEDC400S37/1600G SEDC400S37\/1600G|внутренний|для сервера|1600 ГБ|"2.5"""|SATA 3|MLC|510 МБ/с|555 МБ/с|||2 млн. ч||70x100x7 мм|92 г||5 лет|||||||||||||Есть|||||
Transcend MTS800 M.2 TS512GMTS800 TS512GMTS800|внутренний||512 ГБ|M.2||MLC|460 МБ/с|560 МБ/с|||||22x80 мм|9 г||3 года|SATA 3||740 ТБ|1.4 раз/день||75 тыс|70 тыс|||||||||||
A-Data LEGEND 740 ALEG-740-500GCS ALEG-740-500GCS|внутренний||500 ГБ|M.2||3D TLC NAND|1700 МБ/с|2500 МБ/с||1500 G|2 млн. ч||22x80 мм|9 г||5 лет|PCI-E 3.0 4x|Есть|300 ТБ|0.3 раз/день||200 тыс|100 тыс|||||Есть||||||
Patriot Memory VP4300 Lite VP4300L4TBM28H VP4300L4TBM28H|внутренний||4000 ГБ|M.2||3D NAND|6000 МБ/с|7400 МБ/с|||||22x80 мм|9 г||5 лет|PCI-E 4.0 4x|Есть|2000 ТБ|0.3 раз/день||||||||||4711378425383||||
Corsair EX100U CSSD-EX100U2TB CSSD-EX100U2TB|внешний||2000 ГБ|M.2|USB C 3.2 gen2x2||1500 МБ/с|1600 МБ/с||||пластик|80x36x11 мм|22 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
Hikvision T100I HS-ESSD-T100I-120G HS-ESSD-T100I-120G|внешний||120 ГБ||USB C 3.2 gen1||340 МБ/с|450 МБ/с||||пластик / ABS + PP /|68x68x11 мм|36 г||3 года||||||||USB C – USB A||||||||||
WD My Passport 2020 WDBAGF0010BBL-WESN BAGF0010BBL-WESN|внешний||1000 ГБ|"2.5"""|USB C 3.2 gen2||1050 МБ/с|1000 МБ/с||||пластик|100x55x9 мм|||5 лет||Есть||||||USB C – USB C и USB C – USB A||||||0619659184001|WDBAGF0010BBL-WESN, WDBAGF0010BGD-WESN, WDBAGF0010BGY-WESN, WDBAGF0010BRD-WESN, WDBAGF0010BSL-WESN|||
Transcend ESD240C TS120GESD240C TS120GESD240C|внешний||120 ГБ|M.2|USB 3.2 gen2, USB C 3.2 gen2|3D TLC NAND|460 МБ/с|520 МБ/с||||металл|81x33x7.5 мм|35 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
Transcend ESD240C TS240GESD240C TS240GESD240C|внешний||240 ГБ|M.2|USB 3.2 gen2, USB C 3.2 gen2|3D TLC NAND|460 МБ/с|520 МБ/с||||металл|81x33x7.5 мм|35 г||3 года||||||||USB C – USB C и USB C – USB A||||||||||
Apacer PPSS80 AP512GPPSS80-R AP512GPPSS80-R|внутренний||512 ГБ|M.2||3D TLC NAND|490 МБ/с|540 МБ/с||1500 G|2 млн. ч||22x80 мм|||3 года|SATA 3|||||||||||||||||
A-Data LEGEND 740 ALEG-740-1TCS ALEG-740-1TCS|внутренний||1000 ГБ|M.2||3D TLC NAND|2000 МБ/с|2500 МБ/с||1500 G|2 млн. ч||22x80 мм|9 г||5 лет|PCI-E 3.0 4x|Есть|600 ТБ|0.3 раз/день||200 тыс|180 тыс|||||Есть||||||
