|Объем памяти комплекта|Кол-во планок в комплекте|Форм-фактор памяти|Тип памяти|Тактовая частота|Пропускная способность|CAS-латентность|Схема таймингов памяти|Рабочее напряжение|Тип охлаждения|Профиль планки|Дополнительно|Маркировка производителя|Высота планки|Ранг памяти|Синхронизация подсветки|Код EAN / UPS / GTIN
Samsung DDR3 SO-DIMM 1x4Gb M471B5173QH0-YK|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.35 В|без охлаждения|стандартный||||||
Patriot Memory Viper Elite DDR5 2x16Gb PVER532G66C36KW|32 ГБ|2 шт|DIMM|DDR5|6600 МГц|52800 МБ/с|CL36|36-46-46-86|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||44 мм||multi compatibility|
Corsair Dominator Titanium RGB DDR5 4x24Gb CMP96GX5M4B6000C30|96 ГБ|4 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-36-36-76|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|CMP96GX5M4B6000C30, CMP96GX5M4B6000C30W|||Corsair iCUE|0840006676447
Team Group Vulcan T-Force DDR4 1x4Gb TLGD44G2400HC1401|4 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL14|14-16-16-31|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|TLGD44G2400HC1401, TLRED44G2400HC1401|32 мм|одноранговая||
HyperX Fury DDR4 1x16Gb HX426C16FB\/16|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|HX426C16FB/16, HX426C16FR/16, HX426C16FW/16|34 мм|двухранговая||
Corsair Vengeance LPX DDR4 2x16Gb CMK32GX4M2D3000C16|32 ГБ|2 шт|DIMM|DDR4|3000 МГц|24000 МБ/с|CL16|16-20-20-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||33 мм|||
HP DDR3 DIMM 1x4Gb 500672-B21|4 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка ECC|500672-B21, 501541-001||||
Corsair Dominator Platinum RGB DDR5 2x16Gb CMT32GX5M2X6400C38|32 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL38|38-40-40-84|1.3 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KTA-MB1333\/4GRR|4 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|||1.5 В|без охлаждения|стандартный||||||
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KTH-X3C\/4G|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KTH-X3CL\/4G|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL4||1.35 В|без охлаждения|стандартный||||||
Samsung DDR3 SO-DIMM 1x1Gb M471B2873FHS-CF8|1 ГБ|1 шт|SO-DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7|1.5 В|без охлаждения|стандартный||||||
Kingston ValueRAM DDR3 1x4Gb KTL-TC316S\/4G|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный|||30 мм|||
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KTL-TP3CL\/4G|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
Samsung DDR4 1x32Gb M386A4G40DM0-CPB00|32 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Samsung DDR4 1x16Gb M391A2K43BB1-CPBQ0|16 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15-42|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston KVR DDR4 1x4Gb KVR24N17S8\/4|4 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|||31.2 мм|||
Crucial DDR4 SO-DIMM 1x16Gb CT16G4S24AM|16 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||двухранговая||
Samsung DDR4 1x16Gb M393A2K43CB2-CTD|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Crucial Value DDR4 2x16Gb CT2K16G4DFD8266|32 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
G.Skill Trident Z Neo DDR4 4x8Gb F4-3600C16Q-32GTZNC|32 ГБ|4 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL16|16-19-19-39|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||44 мм||multi compatibility|
Samsung DDR3 SO-DIMM 1x8Gb M471B1G73DB0-YK0D0|8 ГБ|1 шт|SO-DIMM|DDR3 / L /|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
A-Data Premier DDR3 AD3U1600W4G11-B|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11||1.5 В|без охлаждения|стандартный||||||
Samsung M471 DDR3 SO-DIMM 1x4Gb M471B5173BH0-CK0|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
Samsung M471 DDR4 SO-DIMM 1x4Gb M471A5244CB0-CTD|4 ГБ|1 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Patriot Memory Viper Elite DDR5 2x16Gb PVER532G62C42KW|32 ГБ|2 шт|DIMM|DDR5|6200 МГц|49600 МБ/с|CL42|42-46-46-86|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||44 мм||multi compatibility|
A-Data CASTER RGB DDR5 1x16Gb AX5U6000C4016G-CCARGY|16 ГБ|1 шт|DIMM|DDR5|6000 МГц||CL40|40-40-40|1.25 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||43 мм||multi compatibility|
Corsair Dominator Titanium RGB DDR5 2x24Gb CMP48GX5M2B7000C36|48 ГБ|2 шт|DIMM|DDR5|7000 МГц|56000 МБ/с|CL36|36-44-44-114|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|CMP48GX5M2B7000C36, CMP48GX5M2B7000C36W|||Corsair iCUE|0840006675549, 0840006679219
Micron DDR4 1x64Gb MTA36ASF8G72LZ-3G2|64 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA36ASF8G72LZ-3G2B1, MTA36ASF8G72LZ-3G2F1||двухранговая||0649528907172, 0649528927620
Lenovo DDR4 DIMM 1x32Gb 4ZC7A15122|32 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|||1.2 В|без охлаждения|стандартный|поддержка ECC|||||
G.Skill Trident Z5 DDR5 2x16Gb F5-5600U3636C16GX2-TZ5K|32 ГБ|2 шт|DIMM|DDR5|5600 МГц||CL36|36-36-36-76|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|F5-5600U3636C16GX2-TZ5K, F5-5600U3636C16GX2-TZ5S||||
Samsung DDR3 SO-DIMM 1x2Gb M471B5673FH0-CH9|2 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||
Crucial Value DDR3 1x2Gb CT25672BB1339|2 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Patriot Memory Signature SO-DIMM DDR3 1x4Gb PSD34G160081H|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-28|1.5 В|без охлаждения|стандартный||||||
Kingston ValueRAM DDR3 1x16Gb KTH-PL313Q8LV\/16G|16 ГБ|1 шт|DIMM|DDR3|1333 МГц|10600 МБ/с|CL4||1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||30 мм|||
Crucial Value DDR3 1x4Gb CT51272BD160B|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston ValueRAM SO-DIMM DDR3 1x8Gb KTD-L3CL\/8G|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
Kingston ValueRAM SO-DIMM DDR3 1x8Gb KTL-TP3CL\/8G|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный||||||
Crucial DDR4 SO-DIMM 1x4Gb CT4G4SFS8213|4 ГБ|1 шт|SO-DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||||
Samsung DDR4 1x16Gb M393A2G40DB0-CPB0Q|16 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|M393A2G40DB0-CPB30, M393A2G40DB0-CPB0Q||||
Kingston KVR DDR4 1x8Gb KVR21E15D8\/8|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка ECC||31.2 мм|||
HyperX Predator DDR4 2x8Gb HX432C16PB3K2\/16|16 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.2 мм|одноранговая||
Kingston KVR DDR4 1x8Gb KVR24R17S8\/8|8 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC||31.2 мм|||
Kingston ValueRAM SO-DIMM DDR4 1x16Gb KCP424SD8\/16|16 ГБ|1 шт|SO-DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный||||||
Samsung DDR3 1x16Gb M393B2G70DB0-YK0|16 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.35 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Lenovo DDR4 DIMM 1x8Gb 4X70K09921|8 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный||||||
Crucial Value DDR4 2x16Gb CT2K16G4DFD832A|32 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||двухранговая||
Gigabyte AORUS RGB Memory 2x8Gb GP-AR36C18S8K2HU416R|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL19|1‎9-19-19-43|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||Gigabyte RGB Fusion|
Crucial Value DDR4 2x16Gb CT2K16G4DFRA266|32 ГБ|2 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
Kingston KTH DDR4 1x32Gb KTH-PL426E\/32G|32 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный|поддержка ECC|||двухранговая||
Micron DDR4 SO-DIMM 1x16Gb MTA9ASF2G72HZ-3G2|16 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный|поддержка ECC|MTA9ASF2G72HZ-3G2B2, MTA9ASF2G72HZ-3G2F1||одноранговая||
A-Data Lancer Blade RGB DDR5 2x24Gb AX5U6000C3024G-DTLABRBK|48 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-40-40|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|AX5U6000C3024G-DTLABRBK, AX5U6000C3024G-DTLABRWH|40 мм||multi compatibility|
Samsung DDR3 1x4Gb M378B5173DB0-CK|4 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
Samsung DDR3 SO-DIMM 1x2Gb M471B5773CHS-CH9|2 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||||||
Samsung DDR3 SO-DIMM 1x8Gb M471B1G73BH0-CK0|8 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11|1.5 В|без охлаждения|стандартный||||||
Samsung DDR3 SO-DIMM 1x4Gb M471B5173DB0-YK0|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL11||1.35 В|без охлаждения|стандартный||||||
Patriot Memory Viper Elite DDR5 2x16Gb PVER532G70C38KW|32 ГБ|2 шт|DIMM|DDR5|7000 МГц|56000 МБ/с|CL38|38-48-48-88|1.45 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка||44 мм||multi compatibility|
Transcend JetRam DDR4 1x4Gb JM2666HLH-4G|4 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||одноранговая||0760557842637
Corsair Dominator Titanium RGB DDR5 2x24Gb CMP48GX5M2X7200C36|48 ГБ|2 шт|DIMM|DDR5|7200 МГц|57600 МБ/с|CL36|36-46-46-116|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|CMP48GX5M2X7200C36, CMP48GX5M2X7200C36W|||Corsair iCUE|0840006676416, 0840006679226
Corsair Dominator Titanium RGB DDR5 2x24Gb CMP48GX5M2B6000C30|48 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL30|30-36-36-76|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|CMP48GX5M2B6000C30, CMP48GX5M2B6000C30W|||Corsair iCUE|0840006676409, 0840006679202
G.Skill Ripjaws DDR4 SO-DIMM 2x8Gb F4-3200C22D-16GRS|16 ГБ|2 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||||||4713294226631
G.Skill Trident Z Royal DDR4 2x32Gb F4-3200C16D-64GTRG|64 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|F4-3200C16D-64GTRG, F4-3200C16D-64GTRS|||multi compatibility|4713294224965, 4713294225122
G.Skill Flare X5 DDR5 2x24Gb F5-6000J4048F24GX2-FX5|48 ГБ|2 шт|DIMM|DDR5|6000 МГц|48000 МБ/с|CL40|40-48-48-96|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка EXPO||33 мм|||
Kingston ValueRAM DDR2 KVR667D2D4F5\/4G|4 ГБ|1 шт|FB-DIMM|DDR2|667 МГц|5300 МБ/с||5-5-5|1.8 В|радиатор|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Kingston ValueRAM DDR2 KVR667D2D4P5\/4G|4 ГБ|1 шт|DIMM|DDR2|667 МГц|5300 МБ/с|||1.8 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||||
Lenovo DDR3 DIMM 1x8Gb 0C19500|8 ГБ|1 шт|DIMM|DDR3|1600 МГц|12800 МБ/с|CL11|11-11-11-30|1.35 В|без охлаждения|стандартный|поддержка ECC|||||
Crucial Value DDR3 1x4Gb CT51272BA1067|4 ГБ|1 шт|DIMM|DDR3|1066 МГц|8500 МБ/с|CL7|7-7-7|1.5 В|без охлаждения|стандартный|поддержка ECC|||||
Kingston ValueRAM SO-DIMM DDR3 1x4Gb KTD-L3CL\/4G|4 ГБ|1 шт|SO-DIMM|DDR3|1600 МГц|12800 МБ/с|CL9|9-9-9|1.35 В|без охлаждения|стандартный||||||
Samsung DDR4 1x32Gb M393A4K40BB1-CRC|32 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Kingston KTH DDR4 1x32Gb KTH-PL429\/32G|32 ГБ|1 шт|DIMM|DDR4|2933 МГц|23400 МБ/с|CL21|21-21-21|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Kingston KSM HDI DDR4 1x16Gb KSM24RD8\/16HDI|16 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|||двухранговая||
Crucial DDR4 SO-DIMM 2x16Gb CT2K16G4SFS8266|32 ГБ|2 шт|SO-DIMM|DDR4|2666 МГц|21300 МБ/с|CL19||1.2 В|без охлаждения|стандартный||||||
Micron DDR4 1x8Gb MTA9ASF1G72PZ-2G3|8 ГБ|1 шт|DIMM|DDR4|2400 МГц|19200 МБ/с|CL17|17-17-17|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA9ASF1G72PZ-2G3A1, MTA9ASF1G72PZ-2G3B1||одноранговая||
Micron DDR4 1x16Gb MTA36ASF2G72PZ-2G1|16 ГБ|1 шт|DIMM|DDR4|2133 МГц|17000 МБ/с|CL15|15-15-15|1.2 В|без охлаждения|стандартный|поддержка буферизации (Registered), поддержка ECC|MTA36ASF2G72PZ-2G1A2, MTA36ASF2G72PZ-2G1B1||двухранговая||
A-Data Lancer Blade RGB DDR5 1x16Gb AX5U6400C3216G-SLABRBK|16 ГБ|1 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32|32-39-39|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|AX5U6400C3216G-SLABRBK, AX5U6400C3216G-SLABRWH|40 мм||multi compatibility|
A-Data Lancer Blade RGB DDR5 2x24Gb AX5U6400C3224G-DTLABRBK|48 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32|32-39-39|1.4 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, поддержка EXPO, подсветка|AX5U6400C3224G-DTLABRBK, AX5U6400C3224G-DTLABRWH|40 мм||multi compatibility|
A-Data XPG Gammix D35 DDR4 2x16Gb AX4U320016G16A-DTBKD35|32 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|AX4U320016G16A-DTBKD35, AX4U320016G16A-DTWHD35|34 мм|||
Samsung DDR4 1x16Gb M378A2K43CB1-CTDD0|16 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19||1.2 В|без охлаждения|стандартный||||||
Lexar ARES RGB DDR5 2x16Gb LD5EU016G-R6400GDLA|32 ГБ|2 шт|DIMM|DDR5|6400 МГц|51200 МБ/с|CL32||1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||||multi compatibility|
Samsung DDR4 1x4Gb M378A5244CB0-CTD|4 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL19|19-19-19|1.2 В|без охлаждения|стандартный||||||
HyperX Fury DDR3 2x8Gb HX318C10FBK2\/16|16 ГБ|2 шт|DIMM|DDR3|1866 МГц|14900 МБ/с|CL10|10-11-10-30|1.5 В|радиатор|стандартный|серия для разгона (overclocking)|HX318C10FBK2/16, HX318C10FK2/16, HX318C10FRK2/16, HX318C10FWK2/16|32.8 мм|||
Samsung DDR3 SO-DIMM 1x4Gb M471B5273CH0-CH9|4 ГБ|1 шт|SO-DIMM|DDR3|1333 МГц|10600 МБ/с|CL9|9-9-9|1.5 В|без охлаждения|стандартный||M471B5273CH0-CH9, M471B5273DM0-CH9, M471B5273DM0-YH9||||
Micron DDR4 SO-DIMM 1x16Gb MTA16ATF2G64-3G2|16 ГБ|1 шт|SO-DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|стандартный||MTA16ATF2G64-3G2E1, MTA16ATF2G64HZ-3G2J1||двухранговая||
HyperX Predator DDR4 1x8Gb HX432C16PB3\/8|8 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-18-18|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||42.2 мм|одноранговая||0740617283969
HyperX Fury DDR4 1x8Gb HX426C16FB2\/8|8 ГБ|1 шт|DIMM|DDR4|2666 МГц|21300 МБ/с|CL16|16-18-18|1.2 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP|HX426C16FB2/8, HX426C16FR2/8, HX426C16FW2/8|34 мм|одноранговая||0740617266283
HyperX Predator RGB DDR4 1x8Gb HX436C17PB4A\/8|8 ГБ|1 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL17|17-19-19|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка||42.2 мм|одноранговая|multi compatibility|
Corsair Dominator Platinum RGB DDR4 2x8Gb CMT16GX4M2D3600C18|16 ГБ|2 шт|DIMM|DDR4|3600 МГц|28800 МБ/с|CL18|18-22-22-42|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|CMT16GX4M2D3600C18, CMT16GX4M2D3600C18W|52 мм||Corsair iCUE|0840006641742, 0840006658597
Corsair Dominator Platinum RGB DDR4 2x8Gb CMT16GX4M2E3200C16|16 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16||1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP||52 мм|||0840006641179, 0840006641216
Corsair Dominator Platinum RGB DDR4 2x16Gb CMT32GX4M2E3200C16|32 ГБ|2 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL16|16-20-20-38|1.35 В|радиатор|стандартный|серия для разгона (overclocking), поддержка XMP, подсветка|CMT32GX4M2E3200C16, CMT32GX4M2E3200C16W|52 мм||Corsair iCUE|0840006641186, 0840006644354, 0840006641230
Micron VLP DDR4 1x16Gb MTA18ADF2G72PZ-3G2|16 ГБ|1 шт|DIMM|DDR4|3200 МГц|25600 МБ/с|CL22|22-22-22|1.2 В|без охлаждения|низкий|поддержка буферизации (Registered), поддержка ECC|MTA18ADF2G72PZ-3G2E1||одноранговая||
