|Подключение|Профессиональная|DVI-D|DVI-I|DisplayPort|Макс. подключаемых мониторов|Охлаждение|Потребляемая мощность|Дополнительное питание|Занимаемых слотов|Длина видеокарты|Модель GPU|Объем памяти|Тип памяти|Разрядность шины|Частота работы GPU|Частота работы памяти|Техпроцесс|Макс. разрешение|Версия DirectX|Версия OpenGL|Потоковых процессоров|Версия потоковых процессоров|Текстурных блоков|HDMI|Кол-во  вентиляторов|Тест Passmark G3D Mark|Маркировка производителя|Версия HDMI|Версия DisplayPort|Рекомендуемая мощность БП от|Поддержка VR|LHR (low hash rate)|Архитектура|Подсветка|miniDisplayPort|USB C|Синхронизация подсветки|Низкопрофильная (low profile)|Поддержка CrossFire/SLI|VGA|Создано для майнинга|Код EAN / UPS / GTIN|Слот M.2|miniHDMI|Внешняя
MSI GT 710 1GD3H LPV1|PCI-E v2.0||1 шт|||2|пассивное (радиатор)|19 Вт||1|129 мм|NVIDIA GeForce GT 710|1 ГБ|DDR3|64 бит|954 МГц|1600 МГц|28 нм|4096x2160 пикс|12|4.5|192|5|16|1 шт||||||||||||||Есть||1 шт|||||
MSI GeForce RTX 4060 AERO ITX 8G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|115 Вт|8 pin|2|167 мм|NVIDIA GeForce RTX 4060|8 ГБ|GDDR6|128 бит|2475 МГц|17000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3072|||1 шт|1 шт|18158 балл(ов)||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
MSI GeForce GTX 1650 4GT LP|PCI-E v3.0||1 шт|||2|активное (кулер)|75 Вт||2|168 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR5|128 бит|1665 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)||v.2.0b||300 Вт||||||||Есть|||||||
ZOTAC GeForce RTX 4070 SUPER Trinity OC ZT-D40720J-10P|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.5|307 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт||ZT-D40720J-10P|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||||||||||
Asus GeForce RTX 3080 TUF Gaming OC 10GB TUF-RTX3080-O10G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|300 мм|NVIDIA GeForce RTX 3080|10 ГБ|GDDR6X|320 бит|1815 МГц|19000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||2 шт|3 шт|23907 балл(ов)|TUF-RTX3080-O10G-GAMING|v.2.1|v.1.4a|850 Вт|Есть||Ampere|Есть|||Asus Aura Sync||||||||
EVGA GeForce GTX 1660 SUPER SC ULTRA GAMING 06G-P4-1068-KR|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|125 Вт|8 pin|2|202 мм|NVIDIA GeForce GTX 1660 SUPER|6 ГБ|GDDR6|192 бит|1830 МГц|14000 МГц|12 нм|7680x4320 пикс|12|4.6|1408||88|1 шт|2 шт|12677 балл(ов)|06G-P4-1068-KR|v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
Dell Quadro M4000 490-BCXN|PCI-E v3.0|Есть|||4 шт|4|активное (кулер)|120 Вт|6 pin|1|241 мм|NVIDIA Quadro M4000|8 ГБ|GDDR5|256 бит|1500 МГц||28 нм|4096x2160 пикс|12|4.5|1664|5|||1 шт||||||||||||||Есть||||||
MSI N210-MD1G|PCI-E v2.0|||1 шт||2|активное (кулер)|||1|145 мм|NVIDIA GeForce 210|1 ГБ|GDDR2|128 бит|475 МГц|800 МГц|40 нм|2560x1600 пикс|10.1|3.1|16|4.1|8|1 шт|||||||||||||||||||||
PowerColor Radeon HD 5450 AX5450 1GBK3-SH|PCI-E v2.1|||1 шт||2|пассивное (радиатор)|||1||AMD Radeon HD 5450|1 ГБ|GDDR3|64 бит|650 МГц|1334 МГц|40 нм|2560x1600 пикс|11|3.2|80|5|8|1 шт||||||||||||||Есть||1 шт|||||
Asus Radeon RX 7800 XT TUF OG OC TUF-RX7800XT-O16G-OG-GAMING|PCI-E v4.0 / x16 /||||3 шт|4|активное (кулер)|263 Вт|8 + 8 pin|3|320 мм|AMD Radeon RX 7800 XT|16 ГБ|GDDR6|256 бит|2565 МГц|19500 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|3840|||1 шт|3 шт|24438 балл(ов)|TUF-RX7800XT-O16G-OG-GAMING|v.2.1|v.2.1|750 Вт|||Navi 3X (RDNA 3)|Есть|||Asus Aura Sync||||||||
EVGA GeForce RTX 3060 XC BLACK GAMING 12G-P5-3655-KR|PCI-E v4.0||||3 шт|4|активное (кулер)|170 Вт|8 pin|2|202 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1777 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|2 шт|16618 балл(ов)|12G-P5-3655-KR|v.2.1|v.1.4a|550 Вт|Есть||Ampere||||||||||||
MSI GeForce RTX 4060 Ti GAMING SLIM WHITE 16G|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|165 Вт|8 pin|2.2|307 мм|NVIDIA GeForce RTX 4060 Ti|16 ГБ|GDDR6|128 бит|2550 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|3 шт|22604 балл(ов)||v.2.1a|v.1.4a|550 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
MSI GeForce RTX 4070 Ti SUPER 16G GAMING TRIO WHITE|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3|337 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2625 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
MSI GeForce RTX 4070 Ti SUPER 16G GAMING X TRIO WHITE|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3|337 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2685 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт|||v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
MSI GeForce RTX 4080 SUPER 16G GAMING SLIM WHITE|PCI-E v4.0||||2 шт|4|активное (кулер)|320 Вт|16 pin|3|322 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2565 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||2 шт|3 шт|||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
INNO3D GeForce RTX 4070 SUPER TWIN X2 OC N407S2-126XX-186162N|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2|250 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|2 шт||N407S2-126XX-186162N|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
MSI GeForce RTX 4090 VENTUS 3X E 24G|PCI-E v4.0||||2 шт|4|активное (кулер)|450 Вт|16 pin|3|322 мм|NVIDIA GeForce RTX 4090|24 ГБ|GDDR6X|384 бит|2535 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|16384|||2 шт|3 шт|39128 балл(ов)||v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace||||||||||||
Gainward GeForce RTX 4070 SUPER Panther OC NED407ST19K9-1043Z|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|3|329 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт||NED407ST19K9-1043Z|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace||||||||||||
Gainward GeForce RTX 4070 Ti SUPER Phantom GS NED47TSU19T2-1045P|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|329 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2685 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт||NED47TSU19T2-1045P|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
INNO3D GeForce RTX 4070 SUPER TWIN X2 OC WHITE N407S2-126XX-186162W|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2|250 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|2 шт||N407S2-126XX-186162W|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
Gigabyte GeForce RTX 3060 WINDFORCE 12G LHR GV-N3060WF2-12GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2|198 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1777 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|2 шт|2 шт|16618 балл(ов)|GV-N3060WF2-12GD|v.2.1|v.1.4a|550 Вт|Есть|Есть|Ampere||||||||||||
Asus GeForce RTX 3070 DUAL OC DUAL-RTX3070-O8G|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|267 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1800 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||2 шт|2 шт|21358 балл(ов)|DUAL-RTX3070-O8G|v.2.1|v.1.4a|750 Вт|Есть||Ampere|Есть|||||||||||
INNO3D GeForce RTX 4070 Ti SUPER X3 OC N407TS2-166XX-186158N|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2|297 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт||N407TS2-166XX-186158N|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||||||||||
INNO3D GeForce RTX 4070 SUPER X3 OC N407S3-126XX-186162L|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2|297 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт||N407S3-126XX-186162L|v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
INNO3D GeForce RTX 4070 Ti SUPER TWIN X2 N407TS2-166X-186156N|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2|250 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|2 шт||N407TS2-166X-186156N|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
Gigabyte GeForce RTX 4070 Ti SUPER EAGLE OC 16G GV-N407TSEAGLE OC-16GD|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2.5|261 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт||GV-N407TSEAGLE OC-16GD|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
Gigabyte GeForce RTX 4070 SUPER EAGLE OC 12G GV-N407SEAGLE OC-12GD|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.5|261 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит||21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт||GV-N407SEAGLE OC-12GD|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace|Есть|||Gigabyte RGB Fusion||||||||
PNY Quadro K2000 VCQK2000-PB|PCI-E v2.0|Есть||1 шт|2 шт|4|активное (кулер)|51 Вт||1||NVIDIA Quadro K2000|2 ГБ|GDDR5|128 бит|800 МГц|4000 МГц|28 нм|3840x2160 пикс|11|4.3|384|5|32||||VCQK2000-PB||||||||||||||||||
MSI N630-1GD3/LP N630-1GD3\/LP|PCI-E v2.0|||1 шт|||активное (кулер)|||1|158 мм|NVIDIA GeForce GT 630|1 ГБ|GDDR3|128 бит|810 МГц|1000 МГц|40 нм|2560x1600 пикс|11|4.2|96|5|4|1 шт||||||||||||||Есть||1 шт|||||
EVGA GeForce GTX 670 02G-P4-2678-KR|PCI-E v3.0||1 шт|1 шт|1 шт|4|активное (кулер)|170 Вт||2||NVIDIA GeForce GTX 670|2 ГБ|GDDR5|256 бит|1006 МГц|6208 МГц|28 нм|2560x1600 пикс|11|4.2|1344|5|112|1 шт|||||||||||||||Есть||||||
Asus GeForce 210 210-SL-1GD3-BRK|PCI-E v2.0|||1 шт||2|пассивное (радиатор)|||1|178 мм|NVIDIA GeForce 210|1 ГБ|DDR3|64 бит|589 МГц|1200 МГц|40 нм|2560x1600 пикс|10.1|3.1|16|4.1|8|1 шт||||||||||||||Есть||1 шт|||||
PNY Quadro K1200|PCI-E v2.0|Есть||||4|активное (кулер)|45 Вт||1|170 мм|NVIDIA Quadro K1200|4 ГБ|GDDR5|128 бит|||28 нм|3840x2160 пикс|12|4.5|512|5|32||1 шт||||||||||4 шт||||||||||
PNY Quadro K2200|PCI-E v2.0|Есть||1 шт|2 шт|3|активное (кулер)|60 Вт||1|203 мм|NVIDIA Quadro K2200|4 ГБ|GDDR5|128 бит|1000 МГц|5000 МГц|28 нм|3840x2160 пикс|11|4.5|640|5|40||1 шт||||||||||||||||||||
ZOTAC GeForce GT 710 ZT-71302-20L|PCI-E v2.0||1 шт|||2|пассивное (радиатор)|25 Вт||1|146 мм|NVIDIA GeForce GT 710|2 ГБ|DDR3|64 бит|954 МГц|1600 МГц|28 нм|2560x1600 пикс|12|4.5|192|5|16|1 шт||||||||||||||||1 шт|||||
HP Quadro K420 N1T07AA|PCI-E v2.0|Есть||1 шт|1 шт|2|активное (кулер)|41 Вт||1|160 мм|NVIDIA Quadro K420|1 ГБ|DDR3|128 бит|876 МГц|1800 МГц|28 нм|3840x2160 пикс|11|4.4|192|5|16||1 шт|||||||||||||Есть|||||||
HP Quadro M5000 M6V53AA|PCI-E v3.0|Есть||1 шт|4 шт|4|активное (кулер)|150 Вт|6 pin|2|267 мм|NVIDIA Quadro M5000|8 ГБ|GDDR5|256 бит|||28 нм|4096x2160 пикс|12|4.5|2048|5|104||||||||||||||||Есть||||||
Asus GeForce RTX 4070 SUPER ROG Strix ROG-STRIX-RTX4070S-12G-GAMING|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|3.2|339 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2505 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||2 шт|3 шт||ROG-STRIX-RTX4070S-12G-GAMING|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync||||||||
MSI GeForce RTX 4070 SUPER 12G GAMING SLIM WHITE|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2.2|307 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2490 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|3 шт|||v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace|Есть|||MSI Mystic Light Sync||||||||
Gainward GeForce RTX 4070 Ti SUPER Phantom NED47TS019T2-1045P|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|3.2|329 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2610 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|3 шт||NED47TS019T2-1045P|v.2.1a|v.1.4a|750 Вт|Есть||Ada Lovelace|Есть|||||||||||
MSI GeForce RTX 3050 GAMING 6G|PCI-E v4.0||||1 шт|3|активное (кулер)|70 Вт||2|205 мм|NVIDIA GeForce RTX 3050|6 ГБ|GDDR6|96 бит|1470 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2304|||2 шт|2 шт|10553 балл(ов)||v.2.1|v.1.4a|300 Вт|Есть||Ampere||||||||||||
Gigabyte Radeon RX 6600 XT GAMING OC 8G GV-R66XTGAMING OC-8GD|PCI-E v4.0||||2 шт|4|активное (кулер)||8 pin|2.5|282 мм|AMD Radeon RX 6600 XT|8 ГБ|GDDR6|128 бит|2593 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||2 шт|3 шт|15469 балл(ов)|GV-R66XTGAMING OC-8GD|v.2.1|v.1.4a|500 Вт|Есть||Big Navi (RDNA 2)|Есть|||Gigabyte RGB Fusion||||||||
PNY GeForce RTX 4060 Ti 8GB Verto Dual VCG4060T8DFXPB1, VCG4060T8DFXPB1-O|PCI-E v4.0 / x8 /||||3 шт|4|активное (кулер)|160 Вт|8 pin|2||NVIDIA GeForce RTX 4060 Ti|8 ГБ|GDDR6|128 бит|2535 МГц|18000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|4352|||1 шт|2 шт|22604 балл(ов)|VCG4060T8DFXPB1, VCG4060T8DFXPB1-O|v.2.1|v.1.4a|550 Вт|Есть||Ada Lovelace||||||||||||
EVGA GeForce GT 730 02G-P3-1733-KR|PCI-E v2.0||1 шт|||2|пассивное (радиатор)|||1|114 мм|NVIDIA GeForce GT 730|2 ГБ|DDR3|64 бит|902 МГц|1800 МГц|28 нм|2560x1600 пикс|12|4.4|384|5|32|1 шт||||||||||||||Есть||1 шт|||||
PNY Quadro M2000|PCI-E v3.0|Есть|||4 шт|4|активное (кулер)|75 Вт||1|160 мм|NVIDIA Quadro M2000|4 ГБ|GDDR5|128 бит|1180 МГц|6610 МГц|28 нм|4096x2160 пикс|12|4.5|768|5|64||1 шт||||||||||||||||||||
HP Quadro M2000 T7T60AA|PCI-E v3.0|Есть|||4 шт|4|активное (кулер)|75 Вт||1|160 мм|NVIDIA Quadro M2000|4 ГБ|GDDR5|128 бит|1180 МГц|6610 МГц|28 нм|4096x2160 пикс|12|4.5|768|5|64||1 шт||||||||||||||||||||
PNY Quadro P2000|PCI-E v3.0|Есть|||4 шт|4|активное (кулер)|75 Вт||1|200 мм|NVIDIA Quadro P2000|5 ГБ|GDDR5|160 бит|1354 МГц|7000 МГц|14 нм|5120x2880 пикс|12|4.5|1024|5.1|64||1 шт||||||||||||||||||||
Lenovo Quadro K620 4X60G69028|PCI-E v2.0|Есть||1 шт|1 шт|2|активное (кулер)|45 Вт||1||NVIDIA Quadro K620|2 ГБ|DDR3|128 бит|1000 МГц|1800 МГц|28 нм|3840x2160 пикс|11|4.4|384|5|32||1 шт|||||||||||||Есть|||||||
PNY NVS 310 DVI 1 Gb|PCI-E v2.0|Есть|||2 шт|2|активное (кулер)|20 Вт||1|145 мм|NVIDIA NVS 310|1 ГБ|GDDR3|64 бит|550 МГц|1750 МГц|40 нм|2560x1600 пикс|11|4.1|48|5|4||1 шт|||||||||||||Есть|||||||
MSI GeForce GTX 1650 AERO ITX 4G OC|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|170 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR5|128 бит|1740 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|1 шт|5825 балл(ов)||v.2.0b|v.1.4|300 Вт|||||||||||||||
ZOTAC GeForce GTX 1650 Low Profile ZT-T16500H-10L|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|75 Вт||2|160 мм|NVIDIA GeForce GTX 1650|4 ГБ|GDDR5|128 бит|1665 МГц|8000 МГц|12 нм|7680x4320 пикс|12|4.6|896||56|1 шт|2 шт|5825 балл(ов)|ZT-T16500H-10L|v.2.0b|v.1.4|300 Вт||||||||Есть|||||||
ZOTAC GeForce GTX 1650 SUPER Twin Fan ZT-T16510F-10L|PCI-E v3.0||1 шт||1 шт|3|активное (кулер)|100 Вт|6 pin|2|158 мм|NVIDIA GeForce GTX 1650 SUPER|4 ГБ|GDDR6|128 бит|1725 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1280||80|1 шт|2 шт|8051 балл(ов)|ZT-T16510F-10L|v.2.0b|v.1.4|350 Вт|Есть||||||||||||||
Gainward GeForce RTX 3060 Ghost OC NE63060T19K9-190AU|PCI-E v4.0||||3 шт|4|активное (кулер)||8 pin|2|245 мм|NVIDIA GeForce RTX 3060|12 ГБ|GDDR6|192 бит|1837 МГц|15000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|3584||112|1 шт|2 шт|16618 балл(ов)|NE63060T19K9-190AU|v.2.1|||Есть||Ampere|Есть|||||||||||
Asus GeForce RTX 3080 ROG Strix V2 White OC LHR ROG-STRIX-RTX3080-O10G-WHITE-V2|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 + 8 pin|3|319 мм|NVIDIA GeForce RTX 3080 / LHR /|10 ГБ|GDDR6X|320 бит|1935 МГц|19500 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|8704|||2 шт|3 шт|23907 балл(ов)|ROG-STRIX-RTX3080-O10G-WHITE-V2|v.2.1|v.1.4a|850 Вт|Есть|Есть|Ampere|Есть|||Asus Aura Sync||||||||
Gainward GeForce RTX 3070 Phoenix V1 LHR|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|2.7|294 мм|NVIDIA GeForce RTX 3070 / LHR /|8 ГБ|GDDR6|256 бит|1725 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||1 шт|3 шт|21358 балл(ов)||v.2.1||750 Вт|Есть|Есть|Ampere|Есть|||||||||||
MSI Radeon RX 6600 XT MECH 2X 8G OCV1|PCI-E v4.0||||3 шт|4|активное (кулер)|160 Вт|8 pin|2|215 мм|AMD Radeon RX 6600 XT|8 ГБ|GDDR6|128 бит|2602 МГц|16000 МГц|7 нм|7680x4320 пикс|12 Ultimate|4.6|2048|||1 шт|2 шт|15469 балл(ов)||v.2.1|v.1.4|500 Вт|Есть||Big Navi (RDNA 2)||||||||||||
ZOTAC GeForce RTX 3050 Eco Solo ZT-A30500R-10L|PCI-E v4.0||||3 шт|4|активное (кулер)|115 Вт|6 pin|2|151 мм|NVIDIA GeForce RTX 3050|8 ГБ|GDDR6|128 бит|1777 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|2560|||1 шт|1 шт|12770 балл(ов)|ZT-A30500R-10L|v.2.1|v.1.4a|450 Вт|Есть||Ampere / GA107 /||||||||||||
MSI GeForce RTX 4070 SUPER 12G VENTUS 2X WHITE|PCI-E v4.0||||3 шт|4|активное (кулер)|220 Вт|16 pin|2|242 мм|NVIDIA GeForce RTX 4070 SUPER|12 ГБ|GDDR6X|192 бит|2490 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|7168|||1 шт|2 шт|||v.2.1a|v.1.4a|650 Вт|Есть||Ada Lovelace||||||||||||
Asus GeForce RTX 4080 SUPER ROG Strix White ROG-STRIX-RTX4080S-16G-WHITE|PCI-E v4.0||||3 шт|4|активное (кулер)|320 Вт|16 pin|3.5|358 мм|NVIDIA GeForce RTX 4080 SUPER|16 ГБ|GDDR6X|256 бит|2580 МГц|23000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|10240|||2 шт|3 шт||ROG-STRIX-RTX4080S-16G-WHITE|v.2.1a|v.1.4a|850 Вт|Есть||Ada Lovelace|Есть|||Asus Aura Sync||||||||
ASRock Radeon RX 7900 XTX Taichi White 24GB OC RX7900XTX TCW 24GO|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 + 8 pin|3|345 мм|AMD Radeon RX 7900 XTX|24 ГБ|GDDR6|384 бит|2680 МГц|20000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|6144|||1 шт|3 шт|31355 балл(ов)|RX7900XTX TCW 24GO|v.2.1|v.2.1|1000 Вт|||Navi 3X (RDNA 3)|Есть|||ASRock Polychrome Sync||||||||
Asus GeForce RTX 3070 ROG Strix OC White ROG-STRIX-RTX3070-O8G-WHITE|PCI-E v4.0||||3 шт|4|активное (кулер)||8 + 8 pin|3|319 мм|NVIDIA GeForce RTX 3070|8 ГБ|GDDR6|256 бит|1935 МГц|14000 МГц|8 нм|7680x4320 пикс|12 Ultimate|4.6|5888|||2 шт|3 шт|21358 балл(ов)|ROG-STRIX-RTX3070-O8G-WHITE|v.2.1|v.1.4a|750 Вт|Есть||Ampere|Есть|||Asus Aura Sync||||||||
MSI GeForce GTX 1660 Ti ARMOR 6G OC|PCI-E v3.0||||3 шт|4|активное (кулер)|130 Вт|8 pin|2|243 мм|NVIDIA GeForce GTX 1660 Ti|6 ГБ|GDDR6|192 бит|1860 МГц|12000 МГц|12 нм|7680x4320 пикс|12|4.6|1536||96|1 шт|2 шт|11730 балл(ов)||v.2.0b|v.1.4|450 Вт|Есть||||||||||||||
EVGA GeForce 210 01G-P3-1313-KR 01G-P3-1313-KR, 01G-P3-1313-RX|PCI-E v2.0|||1 шт||2|пассивное (радиатор)|||1|157 мм|NVIDIA GeForce 210|1 ГБ|DDR3|64 бит|520 МГц|1200 МГц|28 нм|2560x1600 пикс|10.1|3.2|16|4.1|80|1 шт|||01G-P3-1313-KR, 01G-P3-1313-RX|||||||||||Есть||1 шт|||||
INNO3D GeForce RTX 4070 Ti SUPER TWIN X2 OC N407TS2-166XX-186156N|PCI-E v4.0||||3 шт|4|активное (кулер)|285 Вт|16 pin|2|250 мм|NVIDIA GeForce RTX 4070 Ti SUPER|16 ГБ|GDDR6X|256 бит|2640 МГц|21000 МГц|5 нм|7680x4320 пикс|12 Ultimate|4.6|8448|||1 шт|2 шт||N407TS2-166XX-186156N|v.2.1a|v.1.4a|700 Вт|Есть||Ada Lovelace||||||||||||
ASRock Radeon RX 6400 Challenger ITX 4GB RX6400 CLI 4G|PCI-E v4.0 / x4 /||||1 шт|2|активное (кулер)|55 Вт||2|162 мм|AMD Radeon RX 6400|4 ГБ|GDDR6|64 бит|2321 МГц|16000 МГц|6 нм|7680x4320 пикс|12 Ultimate|4.6|768|||1 шт|1 шт|7324 балл(ов)|RX6400 CLI 4G|v.2.1|v.1.4|350 Вт|||Big Navi (RDNA 2)||||||||||||
