|По направлению|Socket|Форм-фактор|Фазы питания|Радиатор VRM|Размеры (ВхШ)|DDR5|Форм-фактор слота для памяти|Режим работы|Максимальная тактовая частота|Максимальный объем памяти|Поддержка XMP|Поддержка EXPO|Слотов PCI-E 16x|Поддержка PCI Express|Стальные PCI-E разъемы|Выход HDMI|Версия HDMI|LAN (RJ-45)|Кол-во LAN-портов|LAN контроллер|Основной разъем питания|Питание процессора|Разъемов питания кулеров|CPU Fan 4-pin|Chassis/Water Pump Fan 4-pin|Чипсет|BIOS|UEFI BIOS|SATA 3 (6 Гбит/с)|M.2 разъем|Интерфейс M.2|Версия интерфейса M.2|Охлаждение SSD M.2|Интегрированный RAID контроллер|USB 2.0|USB 3.2 gen1|USB C 3.2 gen1|ARGB LED strip|Аудиочип|Звук (каналов)|USB 3.2 gen2|USB C 3.2 gen2|BIOS FlashBack|Тепловые трубки|POST-кодер|DDR4|Поддержка ECC|Встроенная видеокарта|Модель встроенной видеокарты|Выход D-Sub (VGA)|Wi-Fi|Bluetooth|CPU/Water Pump Fan 4-pin|Активное охлаждение|U.2 разъем|TPM-коннектор|RGB LED strip|Оптический S/P-DIF|USB4|Интерфейс Thunderbolt|Металлический бэкплейт|LED подсветка|Синхронизация подсветки|Слотов PCI-E 1x|Поддержка CrossFire (AMD)|Поддержка SLI (NVIDIA)|Поддержка DualBIOS|Дополнительно|PS/2|DDR3|Слотов PCI-E 8x|PCI-слотов|eSATA разьем|Выход DVI|Слотов PCI-E 4x|COM-порт|DisplayPort|Встроенный процессор|Модель встроенного процессора|Маркировка производителя|Режимы PCI-E|Версия DisplayPort|Разъем Thunderbolt AIC|Южный мост|USB C 3.2 gen2x2|Поддержка Alternate Mode|Усилитель|Clear CMOS|SAS разъем|IDE разъем|SATA 2 (3 Гбит/с)|Кол-во socket'ов|Поддержка AMP|Гибридный режим|Коаксиальный выход|Поддержка Power Delivery|Код EAN / UPS / GTIN|Водяное охлаждение|SATA3 (6 Гбит/с)|LPT-порт|SATA2 (3 Гбит/с)|USB C 3.2 gen3x2|mSATA|DDR2
ASRock Z370 Extreme4|игровая для разгона (overclocking)|Intel LGA 1151 v2|ATX|12|Есть|305x244 мм||DIMM|2-х канальный|4333 МГц|64 ГБ|Есть||3 шт|3.0|Есть|Есть||1 Гбит/с|1 шт|Intel I219V|24-контактный|8-контактное|5 шт|||Intel Z370|Ami|Есть|8 шт|3 шт / один для установки Wi-Fi адаптера /|2xSATA/PCI-E 4x|||Есть|3 шт|2 шт|1 шт||Realtek ALC1220|7.1|1 шт|1 шт||||4 слота(ов)||||Есть||||||||Есть||||Есть||3 шт|Есть|Есть|Есть||1 шт|||||DVI-D|||||||16x/0x/4x, 8x/8x/4x|||||||||||||||||||||||
ASRock Z390 Phantom Gaming 4|игровая для разгона (overclocking)|Intel LGA 1151 v2|ATX|11|Есть|305x224 мм||DIMM|2-х канальный|4300 МГц|128 ГБ|Есть||2 шт|3.0||Есть||1 Гбит/с|1 шт|Intel I219V|24-контактный|8-контактное|4 шт|||Intel Z390|Ami|Есть|6 шт|2 шт|2xSATA/PCI-E 4x|||Есть|2 шт|2 шт|||Realtek ALC892|7.1|1 шт|1 шт||||4 слота(ов)||||Есть||||||||||||Есть|ASRock Polychrome Sync|3 шт|Есть||||1 шт|||||DVI-D|||||||16x/4x|||||||||||||||||||||||
Asus PRIME H310T|для дома/офиса|Intel LGA 1151 v2|mini-ITX|||170x170 мм||SO-DIMM|2-х канальный|2666 МГц|32 ГБ||||||Есть||1 Гбит/с|1 шт|Realtek RTL8111H||2-контактное|2 шт|||Intel H310|Ami|Есть|2 шт|1 шт|1xSATA/PCI-E 4x||||2 шт|2 шт|||Realtek ALC887|7.1||||||2 слота(ов)|||||||||||||||||||||||||||||||Есть||||||||||||||||Есть|||||||||||
MSI MEG Z390 ACE|игровая для разгона (overclocking)|Intel LGA 1151 v2|ATX|13|Есть|305x244 мм||DIMM|2-х канальный|4500 МГц|128 ГБ|Есть||3 шт|3.0|Есть|||1 Гбит/с|1 шт|Killer E2500|24-контактный|8+8-контактное|7 шт|||Intel Z390|Ami|Есть|6 шт|3 шт|2xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|4 шт|2 шт|||Realtek ALC1220|7.1|5 шт|1 шт||Есть||4 слота(ов)|||||Wi-Fi 5 (802.11aс)|||||||Есть||||Есть|MSI Mystic Light Sync|3 шт|Есть|Есть|||||||||||||||16x/0x/0x, 8x/8x/0x, 8x/4x/4x|||||||||||||||||||||||
Asus ROG MAXIMUS XI APEX|игровая для разгона (overclocking)|Intel LGA 1151 v2|ATX|16|Есть|||DIMM|2-х канальный|4700 МГц|128 ГБ|Есть||3 шт / x16/x0/x16, x8/x8/x16 /|3.0|Есть|||1 Гбит/с|1 шт|Intel I219V|24-контактный|8+8-контактное|3 шт|||Intel Z390|Ami|Есть|6 шт|2 шт / ROG DIMM.2 /|2xSATA/PCI-E 4x||Есть|Есть|||||Realtek ALC S1220A|7.1|9 шт / 3xGen 2, 6xGen 1 /|||||2 слота(ов) / Double-capacity DIMM /|||||Wi-Fi 5 (802.11aс) / Intel Wireless-AC 9560 /|||||||Есть||||Есть|Asus Aura Sync|1 шт|Есть|Есть|||2 шт|||||||||||||||||||||||||||||||||||
NZXT N7 Z490 N7-Z49XT-B1, N7-Z49XT-W1|игровая для разгона (overclocking)|Intel LGA 1200|ATX|12|Есть|305x244 мм||DIMM|2-х канальный|4266 МГц|128 ГБ|Есть||2 шт|4.0||Есть|v.1.4b|2.5 Гбит/с|1 шт|Realtek RTL8125BG|24-контактный|8+4-контактное|7 шт|||Intel Z490|Ami|Есть|4 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|3 шт|1 шт|||Realtek ALC1220|7.1|1 шт|1 шт||||4 слота(ов)|||||Wi-Fi 6 (802.11ax) / AX200 Wi-Fi 6 /|Bluetooth v 5.1||||||Есть||||||3 шт|Есть|||||||||||||||N7-Z49XT-B1, N7-Z49XT-W1|16x/4x|||||||||||||||||||||||
MSI MEG Z790 GODLIKE MAX|игровая для разгона (overclocking)|Intel LGA 1700|E-ATX|28 / 26+2 /|Есть|305x310 мм|4 слота(ов)|DIMM|2-х канальный|7800 МГц|192 ГБ|Есть||2 шт|5.0|Есть|||10 Гбит/с / Marvell /|2 шт|Marvell AQC113CS-B1-C, Intel / Intel (2.5 Гбит/с) /|24-контактный|8+8-контактное|10 шт|1 шт|7 шт|Intel Z790|Ami|Есть|6 шт|7 шт|2xSATA/PCI-E 4x, 5xPCI-E 4x / M.2_4 PCI-E 5.0 /||Есть|Есть|2 шт|2 шт||3 шт|Realtek ALC4082|7.1|7 шт|1 шт|Есть|Есть|Есть||||||Wi-Fi 7 (802.11be)|Bluetooth v 5.4|2 шт|||Есть|1 шт|Есть|2 шт|v4 x 2 шт|Есть|Есть|MSI Mystic Light Sync||||||||||||||||||16x/8x||||2 шт|Есть|ESS ES9280AQ Combo DAC/HPA|Есть||||||||Есть||||||||
Asus PRIME B250M-PLUS|геймерская|Intel LGA 1151|micro-ATX|6|Есть|244x224 мм||DIMM|2-х канальный|2400 МГц|64 ГБ|Есть||2 шт|3.0||Есть||1 Гбит/с|1 шт|Intel I219V|24-контактный|4-контактное|3 шт|||Intel B250|Ami|Есть|6 шт|2 шт|1xSATA/PCI-E 2x, 1xPCI-E 4x||||2 шт|1 шт|1 шт||Realtek ALC887|7.1||||||4 слота(ов)||||Есть||||||||||||Есть||1 шт|Есть||||1 шт|||||DVI-D|||||||16x/4x|||||||||||||||||||||||
Asus PRIME B350-PLUS 90MB0TG0-M0EAY0|игровая для разгона (overclocking)|AMD AM4|ATX|6|Есть|305x237 мм||DIMM|2-х канальный|3200 МГц|64 ГБ|||2 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|8-контактное|3 шт|||AMD B350|Ami|Есть|6 шт|1 шт|1xSATA/PCI-E 4x|||Есть|2 шт|1 шт|||Realtek ALC887|7.1|2 шт|||||4 слота(ов)||||Есть||||||||||||Есть||2 шт|Есть||||1 шт|||2 шт||DVI-D||||||90MB0TG0-M0EAY0|16x/4x|||||||||||||||||||||||
ASRock TRX40 Taichi|HEDT (High-End DeskTop)|AMD TRX4|ATX|16|Есть|305x244 мм||DIMM|2-х/4-х канальный|4666 МГц|256 ГБ|||3 шт|4.0|Есть|||2.5 Гбит/с / Dragon RTL8125AG /|2 шт|Dragon RTL8125AG, Intel I211AT / Intel I211AT (1 Гбит/с) /|24-контактный|8+8-контактное|5 шт|||AMD TRX40|Ami|Есть|8 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||Есть|Есть|1 шт|4 шт|||Realtek ALC4050H / + Realtek ALC1220 /|7.1|2 шт|1 шт||Есть||8 слота(ов)|||||Wi-Fi 6 (802.11ax)|Bluetooth v 5.0||Есть||Есть||Есть|||Есть|Есть|ASRock Polychrome Sync|1 шт|Есть|Есть|||1 шт||||||||||||||||1 шт|||||||||||||||||||
Gigabyte WRX80-SU8-IPMI|для сервера|AMD WRX8|CEB||Есть|305x267 мм||DIMM|2-х канальный|3200 МГц|1024 ГБ|||7 шт|4.0|Есть|||10 Гбит/с / Dual Intel X550 /|4 шт|Dual Intel X550, Dual Intel i210AT / Dual Intel i210AT (1 Гбит/с) /|24-контактный|8+8-контактное|7 шт|1 шт|6 шт|AMD WRX80|Ami|Есть|4 шт|2 шт|2xPCI-E 4x|||Есть|1 шт|3 шт|||Realtek ALC1220-VB|7.1|5 шт|1 шт|||Есть|8 слота(ов)|Есть|||Есть||||||Есть||Есть||||||||||Chassis Intrusion|||||||||||||||v4 1 шт||||||3 шт / slim* /|||||||||||||||
Biostar TB360-BTC PRO 2.0|созданы для майнинга|Intel LGA 1151 v2|ATX|7|Есть|295x210 мм||DIMM|2-х канальный|2666 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek|24+24-контактный|8-контактное / 2x6-pin PCI-E /|3 шт|1 шт|2 шт|Intel B360|Ami|Есть|4 шт|1 шт|1xSATA||||2 шт|1 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||Есть||||||||||||||11 шт|||||2 шт|||||||||||||||||||||||||||||||||||
Biostar B650MP-E PRO|для дома/офиса|AMD AM5|micro-ATX|11|Есть|244x244 мм|4 слота(ов)|DIMM|2-х канальный|6000 МГц|192 ГБ|Есть|Есть|1 шт|4.0||Есть||2.5 Гбит/с|1 шт|Realtek RTL8125B|24-контактный|8-контактное|3 шт|1 шт|1 шт|AMD B650|Ami|Есть|4 шт|2 шт|2xPCI-E 4x|||Есть|2 шт|1 шт|||Realtek ALC897|7.1|1 шт|1 шт|||||||||||1 шт|||Есть||||||||3 шт|||||1 шт||||||||Есть|||||||||||||||||||||||||||
ASRock H81 Pro BTC R2.0|созданы для майнинга|Intel LGA 1150|ATX|||305x178 мм||DIMM|2-х канальный|1600 МГц|16 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт|Realtek RTL8111GR|24-контактный|8-контактное|5 шт|||Intel H81|Ami|Есть|2 шт||||||2 шт|2 шт|||Realtek ALC662|5.1||||||||||Есть||||||||||||||5 шт|||||2 шт|2 слота(ов)||||||Есть|||||||||||||||2 шт|||||||||||||
ASRock B650E Taichi Lite|игровая для разгона (overclocking)|AMD AM5|E-ATX|27 / 24+2+1 /|Есть|305x267 мм|4 слота(ов)|DIMM|2-х канальный|6600 МГц|192 ГБ|Есть|Есть|2 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Killer E3100G|24-контактный|8+8-контактное|8 шт|1 шт|6 шт|AMD B650E|Ami|Есть|4 шт||3xPCI-E 4x / M2_1 PCI-E Gen5 /||Есть|Есть|2 шт|1 шт||3 шт|Realtek ALC4082|7.1|3 шт||||Есть||||||Wi-Fi 6E (802.11ax)|Bluetooth v 5.3|1 шт|||Есть|1 шт|Есть|1 шт|||Есть|ASRock Polychrome Sync||||||||||||||||||16x/4x||||1 шт|Есть|ESS SABRE9218 DAC|||||||||||||||||
Biostar B760MXC PRO 2.0|геймерская|Intel LGA 1700|micro-ATX|10|Есть|244x244 мм||DIMM|2-х канальный|4600 МГц|128 ГБ|Есть||4 шт|4.0||Есть||1 Гбит/с|1 шт|Intel I219V|24-контактный|8-контактное|2 шт|1 шт|1 шт|Intel B760|Ami|Есть|8 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x|||Есть|3 шт|1 шт|||Realtek ALC897|7.1||||||4 слота(ов)||||Есть||||||Есть||||||||||||Clear CMOS Header|1 шт|||||DVI-D|||||||||||||||||||||||4712960686878|||||||
Asus Rampage III Black Edition|геймерская|Intel LGA 1366|E-ATX|||305x269 мм||DIMM|2-х/3-х канальный|2200 МГц|48 ГБ|Есть||2 шт|||||1 Гбит/с|2 шт / + 1 порт на отдельной плате /||24-контактный|8-контактное|8 шт|||Intel X58|Ami||8 шт|||||Есть|7 шт / 1 порт только для ROG connect /|2 шт|||SupremeFX|7.1|||||||||||Wi-Fi 4 (802.11n)|||||||Есть||||||2 шт|||||1 шт|6 слота(ов)|2 шт||2 шт|||||||||||Intel ICH10R||||||||||||||||||||
Asus Z170-E|игровая для разгона (overclocking)|Intel LGA 1151|ATX||Есть|305x234 мм||DIMM|2-х канальный|3466 МГц|64 ГБ|Есть||3 шт|3.0||Есть||1 Гбит/с|1 шт|Intel I219V|24-контактный|8-контактное|5 шт|||Intel Z170|Ami|Есть|6 шт|1 шт||||Есть|2 шт|2 шт|||Realtek ALC887|7.1||1 шт||||4 слота(ов)||||||||||||||||||3 шт|||||1 шт|||||DVI-D|||||||16x/0x/2x, 8x/8x/2x|||||||||||||||||||||||
Asus H110M-K|для дома/офиса|Intel LGA 1151|micro-ATX|5||226x183 мм||DIMM|2-х канальный|2133 МГц|32 ГБ|Есть||1 шт|3.0||||1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|4-контактное|2 шт|||Intel H110|Ami|Есть|4 шт||||||4 шт|2 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||Есть||||||||||||||2 шт|||||2 шт|||||DVI-D||||||||||||||||||||||||||||||
ASRock Z370M-ITX/ac Z370M-ITX\/ac|игровая для разгона (overclocking)|Intel LGA 1151 v2|mini-ITX|6|Есть|170x170 мм||DIMM|2-х канальный|4000 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|2 шт|Intel I219V / Intel I211AT /|24-контактный|8-контактное|3 шт|||Intel Z370|Ami|Есть|6 шт|2 шт / один для установки Wi-Fi адаптера /|1xSATA/PCI-E 4x|||Есть|1 шт|1 шт|||Realtek ALC892|7.1||||||2 слота(ов)|||||||||||||||||||||||1 шт||||||||Есть|||||||||||||||||||||||||||
Elitegroup A320AM4-M3D|для дома/офиса|AMD AM4|micro-ATX|||220x205 мм||DIMM|2-х канальный|2667 МГц|32 ГБ|||1 шт|3.0||Есть||1 Гбит/с|1 шт|RTL 8111H|24-контактный|4-контактное|2 шт|||AMD A320|Ami|Есть|4 шт|||||Есть|2 шт|4 шт|||Realtek ALC662|7.1||||||2 слота(ов)||||Есть||||||||||||||1 шт|||||2 шт|||||||||||||||||||||||||||||||||||
Gigabyte GA-H61M-S2PH|для дома/офиса|Intel LGA 1155|micro-ATX|4||244x200 мм||DIMM|2-х канальный|1333 МГц|16 ГБ|Есть||1 шт|3.0||Есть|v.1.4|1 Гбит/с|1 шт|Realtek GbE|24-контактный|4-контактное|2 шт|||Intel H61|Ami||4 шт||||||2 шт|4 шт|||Realtek ALC887|7.1||||||||||Есть||||||||||||||1 шт|||Есть||2 шт|2 слота(ов)||2 шт||||Есть||||||||||||||||||||||||||||
Gigabyte X299X AORUS XTREME WATERFORCE|HEDT (High-End DeskTop)|Intel LGA 2066|E-ATX|16|Есть|325x275 мм||DIMM|2-х/4-х канальный|2933 МГц|256 ГБ|Есть||3 шт|3.0|Есть|||10 Гбит/с / Aquantia 10GbE /|2 шт|Aquantia 10GbE, Intel GbE / Intel GbE (1 Гбит/с) /|24-контактный|8+8-контактное|8 шт|||Intel X299|Ami|Есть|8 шт|2 шт|2xSATA/PCI-E 4x||Есть|Есть|3 шт|2 шт|||Realtek ALC1220-VB / x2 /|7.1|2 шт|2 шт||||8 слота(ов)|||||Wi-Fi 6 (802.11ax)|+||||||Есть||v3 x 2 шт|Есть|Есть|Gigabyte RGB Fusion||Есть|Есть|Есть||||||||||Есть|||||||||Есть||||||||||||Есть||||||
ASRock H81 Pro BTC|созданы для майнинга|Intel LGA 1150|ATX|||305x178 мм||DIMM|2-х канальный|1600 МГц|16 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт|Realtek RTL8111GR|24-контактный|8-контактное|5 шт|||Intel H81|Ami|Есть|2 шт||||||2 шт|2 шт|||Realtek ALC662|5.1||||||||||Есть||||||||||||||5 шт|||||2 шт|2 слота(ов)||||||Есть|||||||||||||||2 шт|||||||||||||
ASRock B650M-H/M.2+ B650M-H\/M.2+|для дома/офиса|AMD AM5|micro-ATX|8 / 6+1+1 /|Есть|244x226 мм|2 слота(ов)|DIMM|2-х канальный|6400 МГц|96 ГБ|Есть|Есть|1 шт|4.0|Есть|Есть|v.2.1|1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|8-контактное|4 шт|1 шт|3 шт|AMD B650|Ami|Есть|4 шт|2 шт|2xPCI-E 4x / M2_1 PCI-E 5.0 /|||Есть|2 шт|1 шт|1 шт||Realtek ALC897|7.1||||||||||||||||Есть||||||||2 шт|||||||||||||Есть|||||v.1.4||||||||||||||||||||||
Gigabyte GA-H55M-S2V|для дома/офиса|Intel LGA 1156|micro-ATX|||244х210 мм||DIMM|2-х канальный|2200 МГц|16 ГБ|Есть||1 шт|||||1 Гбит/с|1 шт|Realtek RTL8111E|24-контактный|4-контактное|2 шт|||Intel H55|Award|||||||Есть|8 шт||||Realtek ALC888B|7.1||||||||||Есть||||||||||||||1 шт|||Есть||2 шт|2 слота(ов)||2 шт||DVI-D|||||||||||||||||6 шт|||||||||||||
Asus Maximus VI Extreme|геймерская|Intel LGA 1150|ATX|||305х244 мм||DIMM|2-х канальный|3000 МГц|32 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Intel I217V|24-контактный|8-контактное / +4 /|8 шт|||Intel Z87|Ami|Есть|10 шт|||||Есть|2 шт|6 шт|||Realtek ALC1150|7.1|||||||||||Wi-Fi 5 (802.11aс)|Bluetooth v 4.0||||||Есть||||||||||||4 слота(ов)|4 шт||||1 шт||Есть|||||||||||||||||||||||||||
ASRock FM2A88M Extreme4+|для дома/офиса|AMD FM2+ / FM2 /|micro-ATX|||||DIMM|2-х канальный|2600 МГц|64 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Atheros AR8171|24-контактный|8-контактное|4 шт|||AMD A88X (Bolton D4)|Ami|Есть|8 шт|||||Есть|4 шт|2 шт|||Realtek ALC892|7.1||||||||||Есть||||||||Есть||||||1 шт|||||1 шт|4 слота(ов)||1 шт||DVI-D|1 шт|||||||||||||||||||Есть||||||||||
Gigabyte X670E AORUS PRO X|игровая для разгона (overclocking)|AMD AM5|ATX|20 / 16+2+2 /|Есть|305x244 мм|4 слота(ов)|DIMM|2-х канальный|8000 МГц|192 ГБ|Есть|Есть|3 шт|5.0||Есть|v.2.1|2.5 Гбит/с|1 шт|Intel I225-V|24-контактный|8+8-контактное|8 шт|1 шт|6 шт|AMD X670E|Ami|Есть|4 шт|4 шт|4xPCI-E 4x / M2A_CPU, M2B_CPU PCI-E 5.0 /||Есть|Есть|2 шт|2 шт||3 шт|Realtek|7.1|3 шт||Есть||||||||Wi-Fi 7 (802.11be) / Qualcomm или MediaTek (в зависимости от ревизии) /|Bluetooth v 5.3|1 шт|||Есть|1 шт|||||Есть|Gigabyte RGB Fusion||||||||||||||||||16x/4x/2x||||1 шт|||||||||||||||||||
ASRock Z690 Taichi Razer Edition|игровая для разгона (overclocking)|Intel LGA 1700|ATX|20|Есть|305x244 мм|4 слота(ов)|DIMM|2-х канальный|6400 МГц|192 ГБ|Есть||3 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|2 шт|Killer E3100G, Intel I219V / Intel I219V (1 Гбит/с) /|24-контактный|8+8-контактное|7 шт|1 шт|4 шт|Intel Z690|Ami|Есть|6 шт|3 шт|1xSATA/PCI-E 2x, 2xPCI-E 4x / PCI-E 4.0 /||Есть|Есть|2 шт|2 шт||3 шт|Realtek ALC1220|7.1|2 шт||Есть|Есть|Есть||||||Wi-Fi 6E (802.11ax)|Bluetooth v 5.3|2 шт|||Есть|1 шт|Есть|2 шт|v4 x 2 шт||Есть|Razer Chroma|1 шт|Есть|||Power, Reset, Clear CMOS buttons|||||||||||||16x/0x/4x, 8x/8x/4x||||1 шт|Есть|ESS SABRE9218 DAC|||||||||||||||||
Biostar B760MX-E D4|для дома/офиса|Intel LGA 1700|micro-ATX|10||236x208 мм||DIMM|2-х канальный|4400 МГц|64 ГБ|Есть||1 шт|4.0||Есть||1 Гбит/с|1 шт|Intel i219V|24-контактный|8-контактное|2 шт|1 шт|1 шт|Intel B760|Ami|Есть|4 шт|1 шт|1xSATA/PCI-E 4x|||Есть|2 шт|1 шт|||Realtek ALC897|7.1||||||2 слота(ов)||||Есть||||||Есть||||||||1 шт|||||1 шт|||||DVI-D|||||||||||||||||||||||4712960686854|||||||
ASRock Z170 Pro4S|геймерская|Intel LGA 1151|ATX|||||DIMM|2-х канальный|3200 МГц|64 ГБ|Есть||1 шт|3.0||Есть||1 Гбит/с|1 шт|Intel I219V|24-контактный|8-контактное|4 шт|||Intel Z170|Ami|Есть|6 шт|1 шт / Ultra M.2 /||||Есть||6 шт|||Realtek ALC892|7.1||||||4 слота(ов)||||||||||||||||||3 шт|||||1 шт|||||DVI-D|1 шт|||||||||||||||||||||||||||||
Supermicro C7Z170-OCE|геймерская|Intel LGA 1151|ATX|||305x244 мм||DIMM|2-х канальный|3300 МГц|64 ГБ|||2 шт|3.0||Есть||1 Гбит/с|2 шт|Intel i219V / Intel I210-AT /|24-контактный|8-контактное|5 шт|||Intel Z170|Ami|Есть|6 шт|1 шт||||Есть|2 шт||||Realtek ALC1150|7.1|2 шт|||||4 слота(ов)||||||||||||Есть||||||2 шт|||||1 шт||1 шт|||DVI-D|||Есть|||||||||||||||||||||||||||
Gigabyte C246N-WU2|для сервера|Intel LGA 1151 v2|mini-ITX|6|Есть|170x170 мм||DIMM|2-х канальный|2666 МГц|64 ГБ|Есть||1 шт|3.0|Есть|Есть|v.1.4|1 Гбит/с|2 шт|Intel GbE|24-контактный|4-контактное|3 шт|||Intel C246|Ami|Есть|4 шт|1 шт|1xSATA/PCI-E 4x|||Есть||1 шт|||Realtek® ALC887|7.1|1 шт|1 шт||||2 слота(ов)|Есть|||Есть||||||Есть|||||||||||||||||||||Есть|||||v.1.2||||||||||||||||||||||
ASRock B760M-HDV/M.2 DDR5 B760M-HDV\/M.2 DDR5|для дома/офиса|Intel LGA 1700|micro-ATX|9 / 7+1+1 /|Есть|244x201 мм|2 слота(ов)|DIMM|2-х канальный|7200 МГц|96 ГБ|Есть||1 шт|4.0||Есть|v.2.1|2.5 Гбит/с|1 шт|Dragon RTL8125BG|24-контактный|8-контактное|4 шт|1 шт|2 шт|Intel B760|Ami|Есть|4 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x|||Есть|2 шт|1 шт|1 шт|3 шт|Realtek ALC897|7.1||||||||||Есть|||1 шт|||Есть|1 шт|||||||2 шт|||||||||||||Есть|||||v.1.4||||||||||||||||||||||
Maxsun Challenger H610M-R|для дома/офиса|Intel LGA 1700|micro-ATX|6|Есть|225x195 мм||DIMM|2-х канальный|3200 МГц|64 ГБ|Есть||1 шт|4.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|8-контактное|2 шт|1 шт|1 шт|Intel H610|Ami|Есть|3 шт|1 шт|1xPCI-E 4x / PCI-E 3.0 /||||4 шт|2 шт|||Realtek ALC897|5.1||||||2 слота(ов)||||Есть||||||||||||||1 шт||||||||||||||||||||||||||||||||||||||||
Supermicro X10DRL-i|для сервера|Intel LGA 2011 v3|ATX|||305x254 мм||DIMM|2-х канальный|2133 МГц|512 ГБ|||1 шт|3.0||||1 Гбит/с|3 шт|Intel i210|24-контактный|8+8-контактное|8 шт|||Intel C612|Ami|Есть|10 шт|||||Есть|2 шт|2 шт||||||||||8 слота(ов)|Есть|Есть|ASPEED AST2400|Есть|||||||||||||||||||||3 шт||||2 шт|Есть||||||||||||||||2||||||||||||
Asus P8H61-M LX|для дома/офиса|Intel LGA 1155|micro-ATX|||244x183 мм||DIMM|2-х канальный|1333 МГц|16 ГБ|Есть||1 шт|3.0||||1 Гбит/с|1 шт|Realtek Gigabit|24-контактный|4-контактное|2 шт|||Intel H61 / B3 /|Ami|Есть|||||||4 шт||||Realtek ALC887|7.1||||||||||Есть||||||||||||||3 шт|||||2 шт|2 слота(ов)||||||Есть|||||||||||||||4 шт|||||||||||||
Asus PRIME H410M-E/CSM PRIME H410M-E\/CSM|для дома/офиса|Intel LGA 1200|micro-ATX|8||226x203 мм||DIMM|2-х канальный|2933 МГц|64 ГБ|Есть||1 шт|3.0||Есть|v.1.4b|1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|8-контактное|2 шт|||Intel H410|Ami|Есть|4 шт|1 шт|1xSATA/PCI-E 2x||||2 шт|1 шт|||Realtek ALC887|7.1||||||2 слота(ов)||||Есть||||||||||||||2 шт|||||2 шт|||||||||||90MB13H0-M0EAYC|||||||||||||||||4718017731980|||||||
Asus P8H61-M|для дома/офиса|Intel LGA 1155|micro-ATX|||244x213 мм||DIMM|2-х канальный|1333 МГц|16 ГБ|Есть||1 шт|||Есть||1 Гбит/с|1 шт|Realtek 8111E|24-контактный|4-контактное|2 шт|||Intel H61 / B3 /|Ami|Есть|||||||6 шт||||Realtek ALC887|7.1||||||||||Есть||||||||Есть||||||2 шт|||||1 шт|2 слота(ов)||3 шт||DVI-D||Есть|||||||||||||||4 шт|||||||||||||
Asus PRIME B250-PLUS|геймерская|Intel LGA 1151|ATX|6||305x218 мм||DIMM|2-х канальный|2400 МГц|64 ГБ|Есть||2 шт|3.0||Есть||1 Гбит/с|1 шт|Realtek RTL8111H|24-контактный|8-контактное|3 шт|||Intel B250|Ami|Есть|6 шт|2 шт|1xSATA/PCI-E 4x, 1xPCI-E 4x||||1 шт|1 шт|1 шт||Realtek ALC887|7.1||||||4 слота(ов)||||Есть||||||||||||Есть||2 шт|Есть||||1 шт|||2 шт||DVI-D|||||||16x/4x|||||||||||||||||||||||
ASRock Z790 Taichi Lite|игровая для разгона (overclocking)|Intel LGA 1700|E-ATX|27 / 24+1+2 /|Есть|305x267 мм|4 слота(ов)|DIMM|2-х канальный|7200 МГц|192 ГБ|Есть||3 шт|5.0|Есть|Есть|v.2.1|2.5 Гбит/с|1 шт|Killer E3100G|24-контактный|8+8-контактное|8 шт|1 шт|6 шт|Intel Z790|Ami|Есть|8 шт|5 шт|5xPCI-E 4x / M2_1 PCI-E Gen5 /||Есть|Есть|2 шт|2 шт||3 шт|Realtek ALC4082|7.1|2 шт||||Есть||||||Wi-Fi 6E (802.11ax)|Bluetooth v 5.3|1 шт|||Есть|1 шт|Есть|2 шт|v4 x 2 шт||Есть|ASRock Polychrome Sync||Есть||||||||||||||||16x/0x/4x, 8x/8x/4x||||1 шт / 60W Fast Charging (20V/3A) /|Есть|ESS SABRE9218 DAC|||||||||Есть||||||||
