|Мощность|Форм-фактор|Питание MB/CPU|SATA|MOLEX|PCI-E 8pin (6+2)|Система кабелей|+3.3V|+5V|+12V1|-12V|+5Vsb|Мощность +12V|Мощность +3.3V +5V|Мощность -12V|Мощность +5Vsb|Тип PFC|КПД|Система охлаждения|Диаметр вентилятора|Тип подшипника|Сертификат|Стандарт ATX 12В v.|MB|CPU|PCI-E|Защита от перенапряжения (OVP)|Защита от избыточного тока (OPP)|Защита от короткого замыкания (SCP)|Безопасность|Уровень шума|Гарантия производителя|Габариты (ВхШхГ)|Вес|Floppy|Провода в оплетке|Стандарт EPS 12В v.|Маркировка производителя|PCI-E 6pin|+12V2|PCI-E 16pin|Код EAN / UPS / GTIN|+12V3|+12V4|Подсветка|Синхронизация подсветки|PCI-E 8pin
Corsair SF-L Series SF850L|850 Вт|SFX|24+8+8(4+4) pin|445 мм|330 мм|4 шт|модульная|20 А|20 А|70.8 А||3 А|850 Вт|150 Вт||15 Вт|активная||полупассивная|120 мм||80+ Gold|3|300 мм|400 мм|400 мм|Есть|Есть|Есть|||7 лет|63.5x125x130 мм|1.12 кг||||CP-9020245-UK, RPS0155|||1 шт||||||
be quiet! Straight Power 12 BN339|1200 Вт|ATX|24+8+8(4+4) pin|550 мм|850 мм|4 шт|модульная|25 А|25 А|100 А|0.5 А|3 А|1200 Вт|150 Вт|||активная|93 %|1 вентилятор|135 мм|гидродинамический|80+ Platinum|3|600 мм|700 мм|600 мм|Есть|Есть|Есть|OTP, OCP, UVP, SIP|32 дБ|10 лет|86x150x180 мм|2.04 кг|||2.92||||2 шт|4260052189443|||||
FSP Hydro PTM PRO HPT2-1200M|1200 Вт|ATX|24+8+8+8 pin|14 шт|5 шт|8 шт|модульная|20 А|20 А|100 А|0.3 А|3 А|1200 Вт|120 Вт|||активная|92 %|полупассивная|135 мм||80+ Platinum|2.52||||Есть|Есть|Есть|OCP, OTP, UVP||10 лет|86x150x190 мм||Есть||2.92||||||||||
FSP Hydro PTM PRO HPT2-1000M|1000 Вт|ATX|24+8+8+8 pin|14 шт|5 шт|8 шт|модульная|20 А|20 А|83.33 А|0.3 А|3 А|1000 Вт|120 Вт|||активная|92 %|полупассивная|135 мм||80+ Platinum|2.52||||Есть|Есть|Есть|OCP, OTP, UVP||10 лет|86x150x190 мм||Есть||2.92||||||||||
Corsair RMe PCIE5 CP-9020262-EU|750 Вт|ATX|24+8+8(4+4) pin|7 шт|4 шт|3 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|750 Вт|150 Вт||15 Вт|активная||полупассивная|120 мм||80+ Gold|3||||Есть|Есть|Есть|||7 лет|86x150x140 мм|1.5 кг||||CP-9020262-EU, CP-9020262-UK|||1 шт|0840006699347, 0840006699446|||||
be quiet! Straight Power 12 BN336|750 Вт|ATX|24+8+8(4+4) pin|550 мм|850 мм|4 шт|модульная|25 А|25 А|62.5 А|0.3 А|3 А|750 Вт|130 Вт|||активная|93 %|1 вентилятор|135 мм|гидродинамический|80+ Platinum|3|600 мм|700 мм|600 мм|Есть|Есть|Есть|OTP, OCP, UVP, SIP|21 дБ|10 лет|86x150x160 мм|1.76 кг|||2.92||||1 шт|4260052189412|||||
Thermaltake Toughpower GF1 ARGB TTP-850AH3FCG-U|850 Вт|ATX|24+8+8(4+4) pin|12 шт|4 шт|6 шт|модульная|22 А|22 А|70.9 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть||||||||||Есть|multi compatibility|
be quiet! Straight Power 12 BN338|1000 Вт|ATX|24+8+8(4+4) pin|550 мм|850 мм|4 шт|модульная|25 А|25 А|83.3 А|0.3 А|3 А|1000 Вт|150 Вт|||активная|93 %|1 вентилятор|135 мм|гидродинамический|80+ Platinum|3|600 мм|700 мм|600 мм|Есть|Есть|Есть|OTP, OCP, UVP, SIP|29 дБ|10 лет|86x150x160 мм|1.85 кг|||2.92||||1 шт|4260052189436|||||
Corsair RMe CP-9020248-EU|750 Вт|ATX|24+8+8(4+4) pin|800 мм|750 мм|3 шт|модульная|20 А|20 А|62.5 А|0.3 А|3 А|660 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|120 мм|скольжения|без 80+||610 мм|650 мм|750 мм|Есть|Есть|Есть||30 дБ|7 лет|86x150x140 мм|1.51 кг||||||||0840006651994|||||
Thermaltake Toughpower Grand RGB Platinum RGB 1200W Platinum|1200 Вт|ATX|24+8+8(4+4) pin|12 шт|8 шт|8 шт|модульная||||||||||активная|92 %|полупассивная|140 мм||80+ Platinum|2.4||||Есть|Есть|Есть|||10 лет|86x150x180 мм||Есть||2.92|TPG-1200F1FAP||||4711246870406|||Есть|multi compatibility|
Thermaltake Smart SE SPS-0730M|730 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|полумодульная||||||||||активная|90 %|1 вентилятор|140 мм||80+ Gold|2.3||||Есть|Есть|Есть|||3 года|86x150x160 мм||Есть||2.92|||||4713227520898, 4716872052714, 4717964394002|||||
MSI MAG A750BN PCIE5|750 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|2 шт|не модульная|20 А|20 А|62.5 А|0.3 А|2.5 А|750 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|120 мм|скольжения|80+ Bronze|3|600 мм|650 мм|600 мм|Есть|Есть|Есть|OCP, OTP|||86x150x140 мм||Есть||||||1 шт||||||
be quiet! Dark Power Pro 13 BN332|1600 Вт|ATX|24+8+8(4+4) pin|600 мм|600 мм|6 шт|модульная|25 А|25 А|40 А|0.5 А|3.5 А|1600 Вт|150 Вт|||активная|92 %|полупассивная|135 мм|гидродинамический|80+ Titanium|3|600 мм|700 мм|600 мм|Есть|Есть|Есть|OTP, OCP, UVP, SIP|31 дБ|10 лет|86x150x200 мм|2.44 кг|||2.92|||40 А|2 шт|4260052189375|45 А|45 А|||
Corsair HXi Series CP-9020215-EU|1500 Вт|ATX|24+8+8+8 pin|8 шт|8 шт|6 шт|модульная|25 А|25 А|125 А|0.3 А|3 А|||||активная|92 %|полупассивная|140 мм|гидродинамический|80+ Platinum|2.52||||Есть|Есть|Есть||28 дБ|10 лет|86x150x180 мм|2.4 кг|||2.92|CP-9020215-EU, CP-9020215-NA, CP-9020215-UK||||0840006615590, 0840006615644|||||3 шт
Thermaltake Toughpower GX1 GX1 600W|600 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|2 шт|не модульная||||||||||активная|90 %|1 вентилятор|120 мм||80+ Gold|2.4||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92|PS-TPD-0600NNFAGE-1, SP-600AH2NCG||||4711246872608|||||
FSP Hydro G PRO ATX 3.0 HG2-1000.GEN5|1000 Вт|ATX|24+8+8(4+4) pin|14 шт|5 шт|6 шт|модульная|20 А|20 А|83.33 А|0.3 А|2.5 А|1000 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|90 %|полупассивная|120 мм|гидродинамический|80+ Gold|3||||Есть|Есть|Есть|OCP, OTP|30 дБ|10 лет|86x150x150 мм||Есть||2.92||||1 шт||||||
Asus Prime Gold AP-750G|750 Вт|ATX|24+8+8(4+4) pin|400 мм|400 мм|3 шт|модульная|20 А|20 А|62 А|0.3 А|2.5 А|744 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|92 %|1 вентилятор|135 мм|качения|80+ Gold|3|610 мм|650 мм|675 мм|Есть|Есть|Есть|UVP, OCP, OTP||8 лет|86x150x150 мм|1.47 кг||||90YE00U1-B0NB00|||1 шт||||||
Thermaltake Toughpower GX1 SP-700AH2NCG|700 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|4 шт|не модульная||||||||||активная|90 %|1 вентилятор|120 мм||80+ Gold|2.4||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92||||||||||
FSP PNR ATX-350|350 Вт|ATX|24+4 pin|2 шт|2 шт||не модульная|22 А|21 А|18 А|0.3 А|2 А|||||||1 вентилятор|120 мм||без 80+|2.2|||||||||1 год|||Есть|||||16 А|||||||
A-Data XPG CORE REACTOR II 850W|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная|22 А|22 А|70.8 А|0.3 А|3 А|850 Вт|120 Вт|3.6 Вт|15 Вт|активная||1 вентилятор|120 мм|гидродинамический|80+ Gold|3|650 мм|650 мм|650 мм|Есть|Есть|Есть|OCP, OTP, UVP, NLO, SIP||10 лет|86x150x140 мм||||2.92||||1 шт||||||
FSP Hydro G PRO ATX 3.0 HG2-850.GEN5|850 Вт|ATX|24+8+8(4+4) pin|14 шт|5 шт|6 шт|модульная|20 А|20 А|70.83 А|0.3 А|2.5 А|850 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|90 %|полупассивная|120 мм|гидродинамический|80+ Gold|3||||Есть|Есть|Есть|OCP, OTP|28 дБ|10 лет|86x150x150 мм||Есть||2.92||||1 шт||||||
Corsair SF Series CP-9020186-EU|750 Вт|SFX|24+8+8(4+4) pin|445 мм|330 мм|4 шт|модульная||||||||||активная|92 %|полупассивная|92 мм|скольжения|80+ Platinum|2.4|300 мм|400 мм|500 мм|Есть|Есть|Есть||35 дБ|7 лет|63x125x100 мм|0.9 кг|||2.92|||||0843591075497|||||
Corsair RMe PCIE5 CP-9020263-EU|850 Вт|ATX|24+8+8(4+4) pin|7 шт|4 шт|3 шт|модульная|20 А|20 А|70.8 А||3 А|850 Вт|150 Вт||15 Вт|активная||полупассивная|120 мм||80+ Gold|3||||Есть|Есть|Есть|||3 года|86x150x140 мм|1.66 кг|||||||1 шт|0840006699545|||||
Thermaltake Litepower LT-550|550 Вт|ATX|24+8 (4+4) pin|5 шт|4 шт|2 шт|не модульная||||||||||пассивная||1 вентилятор|120 мм||без 80+|||||Есть|Есть|Есть|||2 года|86x150x140 мм||Есть||2.3||||||||||
Cooler Master MWE Bronze MPX-5501-ACAAB|550 Вт|ATX|24+8 (4+4) pin|4 шт|3 шт|2 шт|не модульная||||||||||активная|85 %|1 вентилятор|120 мм||80+ Bronze|2.31||||Есть|Есть|Есть|||1 год|86x150x140 мм||Есть||||||||||||
Thermaltake Toughpower Gold TPD-1200M|1200 Вт|ATX|24+8+8(4+4) pin|12 шт|8 шт|8 шт|полумодульная||||||||||активная|92 %|1 вентилятор|135 мм||80+ Gold|2.3||||Есть|Есть|Есть|||5 лет|86x150x180 мм||Есть|||||||4717964396471|||||
Thermaltake Smart BX1 RGB SP-550AH2NKB|550 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|не модульная|21 А|16 А|38 А|0.5 А|2.5 А|456 Вт|105 Вт|6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92||||||||Есть|multi compatibility|
Seasonic ET-series SS-600ET|600 Вт|ATX|24+8 (4+4) pin|6 шт|6 шт|1 шт|не модульная||||||||||активная|82 %|1 вентилятор|120 мм||80+ Bronze|||||Есть||Есть|||3 года|86x150x140 мм||Есть||||1 шт||||||||
Thermaltake Toughpower GF1 Snow GF1 650W Snow|650 Вт|ATX|24+8 (4+4) pin|500 мм|500 мм|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|3 А|650 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP||10 лет|86x150x160 мм||Есть|||PS-TPD-0650FNFAGE-W, PS-TPD-0650FNFAGU-W||||4713227528856|||||
be quiet! Pure Power 9 Modular BN266|400 Вт|ATX|24+4 pin|5 шт|2 шт|2 шт|полумодульная||||||||||активная|91 %|1 вентилятор|120 мм||80+ Silver|2.4||||Есть|Есть|Есть||16 дБ|3 года|86x150x160 мм|1.96 кг|Есть|||||||4260052187234|||||
Thermaltake Toughpower Grand RGB Gold TPG-750AH3FSG-R|750 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная||||||||||активная|90 %|полупассивная|140 мм||80+ Gold|2.4||||Есть|Есть|Есть|||10 лет|86x150x160 мм||Есть||2.92||||||||Есть|multi compatibility|
be quiet! Straight Power 11 BN281|550 Вт|ATX|24+8 (4+4) pin|1000 мм|3 шт|2 шт|модульная|24 А|24 А|18 А|0.3 А|3 А|549 Вт|130 Вт|||активная|93 %|1 вентилятор|135 мм|гидродинамический|80+ Gold|2.4|600 мм|700 мм|600 мм|Есть|Есть|Есть||17 дБ|5 лет|86x150x160 мм|||Есть|2.92|||18 А|||20 А|20 А|||
Seasonic ATX SSP-750RT|750 Вт|ATX|24+8+8(4+4) pin|6 шт|6 шт|4 шт|не модульная||||||||||активная|90 %|1 вентилятор|120 мм||80+ Gold|2.31||||Есть|Есть|Есть||39 дБ|3 года|86x140x150 мм||Есть||2.92||||||||||
Thermaltake Toughpower Gold TPD-1000M|1000 Вт|ATX|24+8+8(4+4) pin|12 шт|8 шт|6 шт|полумодульная||||||||||активная|92 %|1 вентилятор|135 мм||80+ Gold|2.3||||Есть|Есть|Есть|||5 лет|86x150x180 мм||Есть||||||||||||
be quiet! Pure Power 11 BN293|500 Вт|ATX|24+8 (4+4) pin|950 мм|3 шт|2 шт|не модульная|24 А|15 А|28 А|0.3 А|3 А|480 Вт|120 Вт|||активная|92 %|1 вентилятор|120 мм|скольжения|80+ Gold|2.4|550 мм|600 мм|500 мм|Есть|Есть|Есть||22 дБ|5 лет|86x150x150 мм|2.05 кг|Есть|Есть||||20 А|||||||
Thermaltake Toughpower GX1 SP-500AH2NCG|500 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|не модульная||||||||||активная|90 %|1 вентилятор|120 мм||80+ Gold|2.4||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92||||||||||
Thermaltake Toughpower PF1 ARGB TPD-850AH3FCP-A|850 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|6 шт|модульная||||||||||активная|92 %|полупассивная|140 мм||80+ Platinum||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP|||86x150x180 мм||Есть||||||||||Есть|multi compatibility|
be quiet! Pure Power 12 M BN346|1200 Вт|ATX|24+8+8(4+4) pin|650 мм|800 мм|4 шт|модульная|22 А|22 А|55 А|0.3 А|3 А|1200 Вт|120 Вт|||активная|93 %|1 вентилятор|120 мм|скольжения|80+ Gold|3|550 мм|600 мм|500 мм|Есть|Есть|Есть|OTP, OCP, UVP, SIP|34 дБ|10 лет|86x150x160 мм|1.92 кг|||2.92|||50 А|1 шт||||||
Thermaltake Toughpower GF1 ARGB TTP-650AH3FCG-U|650 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная|22 А|22 А|54.2 А|0.3 А|3 А|650 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть||||||||||Есть|multi compatibility|
be quiet! Pure Power 9 Modular BN268|600 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|4 шт|полумодульная||||||||||активная|91 %|1 вентилятор|120 мм||80+ Silver|2.4||||Есть|Есть|Есть||22 дБ|3 года|86x150x160 мм|2.15 кг|Есть||2.92|||||4260052187227|||||
Thermaltake Toughpower Grand RGB Gold TPG-850AH3FSG-R|850 Вт|ATX|24+8+8(4+4) pin|12 шт|4 шт|6 шт|модульная||||||||||активная|90 %|полупассивная|140 мм||80+ Gold|2.4||||Есть|Есть|Есть|||10 лет|86x150x160 мм||Есть||2.92||||||||Есть|multi compatibility|
Thermaltake Toughpower Grand RGB Platinum TPG-1200F1FAP|1200 Вт|ATX|24+8+8(4+4) pin|12 шт|8 шт|8 шт|модульная||||||||||активная|92 %|полупассивная|140 мм||80+ Platinum|2.4||||Есть|Есть|Есть|||10 лет|86x150x180 мм||Есть||2.92||||||||Есть|multi compatibility|
Seasonic G12 GM G12-GM-550|550 Вт|ATX|24+8 (4+4) pin|720 мм|690 мм|2 шт|полумодульная|20 А|20 А|45 А|0.3 А|2.5 А|540 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм|скольжения|80+ Gold||550 мм|600 мм|550 мм|Есть|Есть|Есть|OCP||5 лет|86x150x140 мм||||||||||||||
Cooler Master MWE Gold MPY-7501-ACAAG|750 Вт|ATX|24+8 (4+4) pin|750 мм|750 мм|4 шт|не модульная||||||||||активная|90 %|1 вентилятор|120 мм||80+ Gold|2.31|610 мм|650 мм|720 мм|Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||||||||||||
1stPlayer Pro PS-600EUW-PRO|600 Вт|ATX|24+8+8(4+4) pin|700 мм|2 шт|2 шт|не модульная|21 А|20 А|48 А|0.3 А||576 Вт|100 Вт|2.5 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+||550 мм|600 мм|650 мм|Есть|Есть|Есть||||86x150x140 мм|2.2 кг|||||||||||||
Thermaltake Smart BM2 SP-550AH3CCB-B|550 Вт|ATX|24+8+8(4+4) pin|6 шт|4 шт|2 шт|полумодульная|20 А|20 А|45.5 А|0.3 А|2.5 А|546 Вт|110 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x160 мм||Есть||2.92|PS-SPD-0550MNFABE-1, SP-550AH3CCB-B|||||||||
Thermaltake Toughpower PF1 ARGB TPD-1050AH3FCP-A|1050 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|8 шт|модульная||||||||||активная|92 %|полупассивная|140 мм||80+ Platinum||600 мм|650 мм|500 мм|Есть|Есть|Есть|OCP, UVP, OTP|||86x150x180 мм||Есть||||||||||Есть|multi compatibility|
Thermaltake Toughpower TF1 TTP-1550AH3FCT|1550 Вт|ATX|24+8+8(4+4) pin|500 мм|500 мм|12 шт|модульная|22 А|22 А|129 А|0.5 А|3 А|1550 Вт|120 Вт|6 Вт|15 Вт|активная||1 вентилятор|140 мм||80+ Titanium|2.52|600 мм|700 мм|500 мм|Есть|Есть|Есть||||86x150x180 мм|2.4 кг|||||||||||||
Thermaltake Toughpower GF1 ARGB TTP-750AH3FCG-U|750 Вт|ATX|24+8 (4+4) pin|9 шт|4 шт|4 шт|модульная|22 А|22 А|62.5 А|0.3 А|3 А|750 Вт|120 Вт|3.6 Вт|15 Вт|активная|90 %|полупассивная|140 мм||80+ Gold|||||Есть|Есть|Есть|OCP, UVP, OTP|||86x150x160 мм||Есть||||||||||Есть|multi compatibility|
1stPlayer Pro PS-500EUW-PRO|500 Вт|ATX|24+8+8(4+4) pin|700 мм|2 шт|2 шт|не модульная|15 А|18 А|40 А|0.3 А||480 Вт|100 Вт|2.5 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+||550 мм|600 мм|650 мм|Есть|Есть|Есть||||86x150x140 мм|2.15 кг|||||||||||||
Seasonic CORE GM -550|550 Вт|ATX|24+8 (4+4) pin|6 шт|3 шт|2 шт|полумодульная|20 А|20 А|45 А|0.3 А|3 А|540 Вт|100 Вт|3.6 Вт|15 Вт|активная|90 %|1 вентилятор|120 мм||80+ Gold|||||Есть|Есть|Есть|OCP, OTP, UVP||7 лет|86x150x140 мм|||Есть||SSR-550LM|||||||||
Thermaltake Smart BX1 RGB SP-650AH2NKB|650 Вт|ATX|24+8 (4+4) pin|6 шт|4 шт|2 шт|не модульная|23 А|17 А|48 А|0.5 А|2.5 А|576 Вт|110 Вт|6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92||||||||Есть|multi compatibility|
Thermaltake Smart BX1 RGB SP-750AH2NKB|750 Вт|ATX|24+8 (4+4) pin|8 шт|4 шт|4 шт|не модульная|24 А|18 А|56 А|0.5 А|2.5 А|672 Вт|100 Вт|6 Вт|12.5 Вт|активная||1 вентилятор|120 мм||80+ Bronze|2.4||||Есть|Есть|Есть|||5 лет|86x150x140 мм||Есть||2.92||||||||Есть|multi compatibility|
Seasonic G12 GM -650|650 Вт|ATX|24+8+8(4+4) pin|720 мм|690 мм|2 шт|полумодульная|20 А|20 А|54 А|0.3 А|2.5 А|648 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|90 %|1 вентилятор|120 мм|скольжения|80+ Gold||550 мм|600 мм|550 мм|Есть|Есть|Есть|OCP||5 лет|86x150x140 мм||||||||||||||
Thermaltake Smart BM2 SP-750AH3CCB-B|750 Вт|ATX|24+8+8(4+4) pin|9 шт|4 шт|4 шт|полумодульная|20 А|20 А|62.5 А|0.3 А|2.5 А|750 Вт|120 Вт|3.6 Вт|12.5 Вт|активная|85 %|1 вентилятор|140 мм||80+ Bronze|2.4||||Есть|Есть|Есть||||86x150x160 мм||Есть||2.92|PS-SPD-0750MNFABE-1, SP-750AH3CCB-B|||||||||
FSP PNR ATX-450|450 Вт|ATX|24+4 pin|2 шт|4 шт||не модульная|22 А|16 А|14 А|0.8 А|2.5 А|||||||1 вентилятор|120 мм||без 80+|2.2|||||||||1 год|||Есть|||||16 А|||||||
FSP Hydro M PRO HP2-700M|700 Вт|ATX|24+8+8(4+4) pin|8 шт|3 шт|4 шт|полумодульная|20 А|20 А|58 А|0.3 А|2.5 А|696 Вт|100 Вт|3.6 Вт|12.5 Вт|активная|88 %|1 вентилятор|120 мм|гидродинамический|80+ Bronze|2.52||||Есть|Есть|Есть||||86x150x140 мм||Есть||2.92||||||||||
